name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Sitz design AB",556820-1056,24050,4,"291 36 Kristianstad","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/sitz-design-ab/kristianstad/-/5568201056
"Severins Möbler i Jönköping Aktiebolag",556260-5914,42422,12,"554 66 Jönköping","Möbler;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/severins-m%C3%B6bler-i-j%C3%B6nk%C3%B6ping-aktiebolag/j%C3%B6nk%C3%B6ping/-/5562605914
"Severins Möbler i Halmstad Aktiebolag",556228-1013,35136,12,"302 62 Halmstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/severins-m%C3%B6bler-i-halmstad-aktiebolag/halmstad/-/5562281013
"Severin Nilssons Möbler Aktiebolag",556203-5062,26098,11,"392 41 Kalmar","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/severin-nilssons-m%C3%B6bler-aktiebolag/kalmar/-/5562035062
"Selux AB",556500-9189,35218,7,"113 55 Stockholm","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/selux-ab/stockholm/-/5565009189
"SUN-FLEX AB",556237-6771,34561,4,"438 70 Landvetter","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/sun-flex-ab/landvetter/-/5562376771
"STOREFACTORY AB",559039-2535,33053,13,"553 02 Jönköping","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/storefactory-ab/j%C3%B6nk%C3%B6ping/-/5590392535
"Röshults svenska hantverk AB",556726-3032,27522,8,"554 75 Jönköping","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/r%C3%B6shults-svenska-hantverk-ab/j%C3%B6nk%C3%B6ping/-/5567263032
"Rumrum Aktiebolag",556544-2174,20040,11,"211 39 Malmö","Arkitekter;Designers, formgivare;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rumrum-aktiebolag/malm%C3%B6/-/5565442174
"Rullux Markis & Persienn AB",556651-0912,34435,23,"224 78 Lund","Textilier;Trävaror;Grossister;Gummi och plastprodukter - tillverkning;Möbler, inredning, kök- och belysningsutrustning;Producenter;Textilier - Produktion;Trä och byggvaror - grossist;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rullux-markis-persienn-ab/lund/-/5566510912
"Resize Design AB",556854-5999,33078,4,"111 24 Stockholm","Belysningsarmatur - Komponenter;Designers, formgivare;Butiksinredningar, butiksutrustningar;Kontorsinredningar;Industridesigners;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/resize-design-ab/stockholm/-/5568545999
"Rekomo Recycling AB",559228-8459,22351,0,"025
22 351","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/rekomo-recycling-ab/g%C3%B6teborg/-/5592288459
"Reforma Sthlm Aktiebolag",556849-2606,27549,6,"114 32 Stockholm","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/reforma-sthlm-aktiebolag/stockholm/-/5568492606
"Recycling Partner RP i Södertälje AB",556927-5836,22553,18,"131 76 Nacka","Flyttfirmor;Kontorsinredningar;Transportförmedling;Åkerier;Grossister",https://www.allabolag.se/foretag/recycling-partner-rp-i-s%C3%B6dert%C3%A4lje-ab/nacka/-/5569275836
"Recycling Partner RP i Linköping AB",556988-0858,46704,25,"582 73 Linköping","Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/recycling-partner-rp-i-link%C3%B6ping-ab/link%C3%B6ping/-/5569880858
"Rebel Light AB",556849-1079,43175,16,"126 53 Hägersten","Byggmästare;Elinstallationer;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rebel-light-ab/h%C3%A4gersten/-/5568491079
"Realisera ID Sweden AB",556664-4869,21966,6,"163 53 Spånga","Butiksinredningar, butiksutrustningar;Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/realisera-id-sweden-ab/sp%C3%A5nga/-/5566644869
"ROSERSBERGS GOLV Aktiebolag",556384-0031,33060,19,"195 30 Märsta","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rosersbergs-golv-aktiebolag/m%C3%A4rsta/-/5563840031
"R&J Retail AB",559202-6347,39694,13,"549 54 Skövde","Spel, nöjesanläggningsutrustningar;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rj-retail-ab/sk%C3%B6vde/-/5592026347
"Pronova Interior AB",556386-4031,32126,13,"388 40 Trekanten","Byggentreprenader-Infrastruktur;Konsulter;Kontorsinredningar;Teknikkonsulter;Grossister",https://www.allabolag.se/foretag/pronova-interior-ab/trekanten/-/5563864031
"Promas Sverige AB",556666-3836,43158,18,"120 40 Årsta","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/promas-sverige-ab/%C3%A5rsta/-/5566663836
"Presentbolaget Sverige AB",559246-1593,37324,0,"114 42 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/presentbolaget-sverige-ab/stockholm/-/5592461593
"Posh Living Aktiebolag",556596-6016,37854,13,"111 34 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/posh-living-aktiebolag/stockholm/-/5565966016
"Poolkemisten Sverige AB",559133-0609,20070,2,"212 41 Malmö","Finansbolag, finansiella tjänster;Värdepappershandel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/poolkemisten-sverige-ab/malm%C3%B6/-/5591330609
"Polytuft of Sweden Aktiebolag",556210-2607,38573,13,"282 71 Sösdala","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/polytuft-of-sweden-aktiebolag/s%C3%B6sdala/-/5562102607
"Pluto Design AB",556537-9723,38846,7,"421 31 Västra Frölunda","Belysningsarmatur - Komponenter;Ljudanläggningar, ljusanläggningar, bildanläggningar;Grossister",https://www.allabolag.se/foretag/pluto-design-ab/v%C3%A4stra-fr%C3%B6lunda/-/5565379723
"Pholc AB",556806-9982,23573,5,"554 75 Jönköping","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/pholc-ab/j%C3%B6nk%C3%B6ping/-/5568069982
"Persiennkompaniet Norden Aktiebolag",556475-1237,39201,16,"126 30 Hägersten","Byggmästare;Järnvaror;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/persiennkompaniet-norden-aktiebolag/h%C3%A4gersten/-/5564751237
"Perfect Match Interior AB",556719-3593,26525,6,"897 91 Långviksmon","Arkitekter;Belysningsarmatur - Komponenter;Designers, formgivare;Grossister",https://www.allabolag.se/foretag/perfect-match-interior-ab/l%C3%A5ngviksmon/-/5567193593
"Per Kvadrat Aktiebolag",556222-6356,28349,8,"774 61 Avesta","Byggmästare;Golvbeläggningar;Mattor;Trävaror;Grossister;Trä och byggvaror - grossist;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/per-kvadrat-aktiebolag/avesta/-/5562226356
"Parnass Presentreklam Sweden Aktiebolag",556343-0395,35026,7,"187 66 Täby","Ljudanläggningar, ljusanläggningar, bildanläggningar;Grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/parnass-presentreklam-sweden-aktiebolag/t%C3%A4by/-/5563430395
"PTV Sweden AB",556388-4989,20235,24,"414 56 Göteborg","Designers, formgivare;Industridesigners;Postorder/e-handel;Möbler;Textilier;Möbler - Produktion;Producenter;Reparatörer;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/ptv-sweden-ab/g%C3%B6teborg/-/5563884989
"P&S Sweden AB",559156-7093,42785,6,"245 34 Staffanstorp","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel -övrigt;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/ps-sweden-ab/staffanstorp/-/5591567093
"P & B Golv Aktiebolag",556142-7385,45636,28,"455 35 Munkedal","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/p-b-golv-aktiebolag/munkedal/-/5561427385
"Optima Belysning & Teknik Aktiebolag",556279-0369,39688,4,"973 31 Luleå","Belysningsarmatur;Belysningsarmatur - Komponenter;Elmateriel;Grossister",https://www.allabolag.se/foretag/optima-belysning-teknik-aktiebolag/lule%C3%A5/-/5562790369
"Ohlssons Basar & Bosättningsaffär AB",556519-1953,32019,10,"271 39 Ystad","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ohlssons-basar-bos%C3%A4ttningsaff%C3%A4r-ab/ystad/-/5565191953
"Norrmalms Elektriska affär Aktiebolag",556111-6285,23750,9,"113 32 Stockholm","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/norrmalms-elektriska-aff%C3%A4r-aktiebolag/stockholm/-/5561116285
"Nordisk Möbeldesign AB",559199-9445,20067,6,"111 43 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nordisk-m%C3%B6beldesign-ab/stockholm/-/5591999445
"Nordhem Inredning AB",556901-9903,27327,8,"871 53 Härnösand","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nordhem-inredning-ab/h%C3%A4rn%C3%B6sand/-/5569019903
"NordDesign Sverige AB",556562-8525,24422,13,"311 50 Falkenberg","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/norddesign-sverige-ab/falkenberg/-/5565628525
"Nilssons Möbler i Lammhult Aktiebolag",556062-1780,24970,7,"363 44 Lammhult","Fastighetsbolag, lokaler;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nilssons-m%C3%B6bler-i-lammhult-aktiebolag/lammhult/-/5560621780
"Nils Olsson Dalahästar Aktiebolag",556143-1205,27577,29,"792 77 Nusnäs","Trävaror;Möbler, inredning, kök- och belysningsutrustning;Producenter;Trävaror - produktion;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nils-olsson-dalah%C3%A4star-aktiebolag/nusn%C3%A4s/-/5561431205
"Natt-Kvalite i Trollhättan Aktiebolag",556461-8444,23964,7,"461 37 Trollhättan","Fastighetsbolag, lokaler;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/natt-kvalite-i-trollh%C3%A4ttan-aktiebolag/trollh%C3%A4ttan/-/5564618444
"Napoleon Inredningar AB",556298-5902,20407,2,"341 31 Ljungby","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/napoleon-inredningar-ab/ljungby/-/5562985902
"NFG Sverige AB",559145-8509,33705,4,"661 40 Säffle","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/nfg-sverige-ab/s%C3%A4ffle/-/5591458509
"Möllers Butiker AB",559462-0444,23635,8,"593 61 Västervik","Färger, lacker, tapeter;Golvbeläggningar;Järnvaror;Mattor;Uthyrning;Grossister;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/m%C3%B6llers-butiker-ab/v%C3%A4stervik/-/5594620444
"Möbelvaruhuset i Långsele Aktiebolag",556224-2452,25487,7,"882 40 Långsele","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belvaruhuset-i-l%C3%A5ngsele-aktiebolag/l%C3%A5ngsele/-/5562242452
"Möbelmästarna i Örebro AB",556489-9804,24492,5,"702 27 Örebro","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belm%C3%A4starna-i-%C3%B6rebro-ab/%C3%B6rebro/-/5564899804
"Möbelmästarna Uppsala AB",556673-7234,20600,5,"753 23 Uppsala","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belm%C3%A4starna-uppsala-ab/uppsala/-/5566737234
"Möbelmästarna Sverige AB",556425-8803,47012,7,"571 68 Malmbäck","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/m%C3%B6belm%C3%A4starna-sverige-ab/malmb%C3%A4ck/-/5564258803
"Möbelhuset Leander-Pehrson i Kristianstad AB",556073-5796,25980,14,"291 59 Kristianstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belhuset-leander-pehrson-i-kristianstad-ab/kristianstad/-/5560735796
"Möbelcentrum i Västervik AB",556971-0402,40790,14,"593 34 Västervik","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belcentrum-i-v%C3%A4stervik-ab/v%C3%A4stervik/-/5569710402
"Möbelcentrum i Ludvika AB",556917-8238,22904,7,"774 63 Avesta","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belcentrum-i-ludvika-ab/avesta/-/5569178238
"Möbelcentrum i Falun AB",556571-8144,26393,10,"774 63 Avesta","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belcentrum-i-falun-ab/avesta/-/5565718144
"Möbelcentrum i Borlänge Aktiebolag",556294-4552,38346,10,"774 63 Avesta","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belcentrum-i-borl%C3%A4nge-aktiebolag/avesta/-/5562944552
"Möbelcentrum i Avesta AB",559052-5902,32286,10,"774 63 Avesta","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belcentrum-i-avesta-ab/avesta/-/5590525902
"Möbelcenter i Åmål Aktiebolag",556507-7038,29803,10,"662 36 Åmål","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6belcenter-i-%C3%A5m%C3%A5l-aktiebolag/%C3%A5m%C3%A5l/-/5565077038
"Möbel-City i Arvika Aktiebolag",556215-6496,36283,11,"671 41 Arvika","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6bel-city-i-arvika-aktiebolag/arvika/-/5562156496
"Möbel Trend i Sverige AB",556322-7999,24452,7,"614 34 Söderköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/m%C3%B6bel-trend-i-sverige-ab/s%C3%B6derk%C3%B6ping/-/5563227999
"Melimeli AB",559021-7278,30872,6,"111 30 Stockholm","Arkitekter;Designers, formgivare;Industridesigners;Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/melimeli-ab/stockholm/-/5590217278
"Maze Interior AB",556644-3544,26553,8,"114 54 Stockholm","Belysningsarmatur - Komponenter;Designers, formgivare;Industridesigners;Grossister",https://www.allabolag.se/foretag/maze-interior-ab/stockholm/-/5566443544
"Mattsons Beds AB",556737-7501,20931,19,"311 32 Falkenberg","Möbler;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mattsons-beds-ab/falkenberg/-/5567377501
"Matt-Landet AB",556301-8430,24051,15,"417 05 Göteborg","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/matt-landet-ab/g%C3%B6teborg/-/5563018430
"Mateus Stock Aktiebolag",556475-3019,41989,9,"114 49 Stockholm","Belysningsarmatur - Komponenter;Datorer - Kringutrustningar;Företagsutveckling;Kakel, klinker;Köksinredningar;Grossister;Kakel - tillverkning;Köksinredningar - agentur och grossist;Producenter;Datorer och kringutrustningar - Partihandel",https://www.allabolag.se/foretag/mateus-stock-aktiebolag/stockholm/-/5564753019
"Martela AB",556417-9116,28061,25,"571 32 Nässjö","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/martela-ab/n%C3%A4ssj%C3%B6/-/5564179116
"Malmfältens Inredningar AB MIAB",556508-9413,24782,5,"981 38 Kiruna","Kontorsinredningar;Transportförmedling;Åkerier;Grossister",https://www.allabolag.se/foretag/malmf%C3%A4ltens-inredningar-ab-miab/kiruna/-/5565089413
"MULBERRY SWEDEN AB",559373-3628,46876,13,"411 09 Göteborg","Guld, silver, ädelstenar;Klockor, ur;Möbler;Kläder, skor;Konfektion;Läder och lädervaror;Läder, skor, inredning, reseeffekter och textilier;Urmakare;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mulberry-sweden-ab/g%C3%B6teborg/-/5593733628
"MEJL AB",559218-8550,27199,3,"933 32 Arvidsjaur","Kontorsmateriel;Möbler;Radio TV, video;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mejl-ab/arvidsjaur/-/5592188550
"MAXEL Aktiebolag",556283-9315,38093,12,"163 53 Spånga","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/maxel-aktiebolag/sp%C3%A5nga/-/5562839315
"MATTVARUHUSET B. Berglund Aktiebolag",556195-1673,32976,23,"168 67 Bromma","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mattvaruhuset-b.-berglund-aktiebolag/bromma/-/5561951673
"MASKINER Skog och Trädgård i Kalmar AB",556773-0378,48791,13,"393 56 Kalmar","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/maskiner-skog-och-tr%C3%A4dg%C3%A5rd-i-kalmar-ab/kalmar/-/5567730378
"MAGNAMETA AB",559159-6548,45821,4,"611 32 Nyköping","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/magnameta-ab/nyk%C3%B6ping/-/5591596548
"Lågprisvaruhuset Kosta AB",556063-8883,20676,9,"365 43 Kosta","Köksinredningar;Grossister;Köksinredningar - agentur och grossist;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/l%C3%A5gprisvaruhuset-kosta-ab/kosta/-/5560638883
"Lundqvist Inredningar AB",556647-9183,21428,8,"646 32 Gnesta","Butiksinredningar, butiksutrustningar;Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/lundqvist-inredningar-ab/gnesta/-/5566479183
"Lundins Snickerifabrik i Hestra Aktiebolag",556155-2257,22056,10,"335 71 Hestra","Möbler;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/lundins-snickerifabrik-i-hestra-aktiebolag/hestra/-/5561552257
"Lundbäcks Inredningar AB",556433-6518,37433,13,"973 34 Luleå","Agenturer;Datorer - Kringutrustningar;Kontorsinredningar;Grossister;Möbler, hushållsartiklar och järnvaror - agentur;Datorer och kringutrustningar - Partihandel",https://www.allabolag.se/foretag/lundb%C3%A4cks-inredningar-ab/lule%C3%A5/-/5564336518
"Luminans Group AB",559168-5440,46869,1,"175 61 Järfälla","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/luminans-group-ab/j%C3%A4rf%C3%A4lla/-/5591685440
"Lucror Scandinavia AB",556870-1683,21027,1,"302 45 Halmstad","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/lucror-scandinavia-ab/halmstad/-/5568701683
"Lotuss Furniture AB",556843-8583,48936,8,"556 50 Jönköping","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/lotuss-furniture-ab/j%C3%B6nk%C3%B6ping/-/5568438583
"Lomax Sweden AB",559026-7802,35548,4,"254 42 Helsingborg","Datorer - Kringutrustningar;Kontorsinredningar;Grossister;Reseeffekter;Datorer och kringutrustningar - Partihandel",https://www.allabolag.se/foretag/lomax-sweden-ab/helsingborg/-/5590267802
"Ljusexperten Sweden AB",556758-6507,27528,6,"504 64 Borås","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/ljusexperten-sweden-ab/bor%C3%A5s/-/5567586507
"Lampan Sweden AB",559481-7032,32649,5,"352 50 Växjö","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/lampan-sweden-ab/v%C3%A4xj%C3%B6/-/5594817032
"Lammhults Biblioteksdesign AB",556038-8851,37625,4,"226 60 Lund","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/lammhults-biblioteksdesign-ab/lund/-/5560388851
"KontorsCenter i Hudiksvall Aktiebolag",556259-7863,49807,19,"824 45 Hudiksvall","Belysningsarmatur - Komponenter;Flyttfirmor;Kontorsinredningar;Textilier;Transportförmedling;Åkerier;Grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kontorscenter-i-hudiksvall-aktiebolag/hudiksvall/-/5562597863
"Knivbrev AB",556922-1947,35120,0,"187 53 Täby","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/knivbrev-ab/t%C3%A4by/-/5569221947
"Klintebergs Färg och Golv Aktiebolag",556135-2955,30130,22,"285 31 Markaryd","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/klintebergs-f%C3%A4rg-och-golv-aktiebolag/markaryd/-/5561352955
"Kitchen Butiksdrift Sverige AB",559013-0711,39914,0,"721 38 Västerås","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kitchen-butiksdrift-sverige-ab/v%C3%A4ster%C3%A5s/-/5590130711
"Kinnarps Interior Skövde AB",556732-1046,21011,6,"541 34 Skövde","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/kinnarps-interior-sk%C3%B6vde-ab/sk%C3%B6vde/-/5567321046
"Kilands Mattor AB",556152-1120,49572,19,"553 03 Jönköping","Golvbeläggningar;Postorder/e-handel;Mattor;Läder, skor, inredning, reseeffekter och textilier;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kilands-mattor-ab/j%C3%B6nk%C3%B6ping/-/5561521120
"Karlströms Golvaktiebolag",556095-8075,27993,17,"621 41 Visby","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/karlstr%C3%B6ms-golvaktiebolag/visby/-/5560958075
"Kapitalvarucenter Bladh AB",556233-2410,39516,16,"254 67 Helsingborg","Hushållsutrustningar, vitvaror;Grossister;Hushållsutrustningar, vitvaror - grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kapitalvarucenter-bladh-ab/helsingborg/-/5562332410
"Kaminhuset Västmanland AB",556872-4032,35600,18,"721 31 Västerås","Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kaminhuset-v%C3%A4stmanland-ab/v%C3%A4ster%C3%A5s/-/5568724032
"KIKIRIKI AB",556428-3074,20903,14,"436 34 Askim","Belysningsarmatur - Komponenter;Evenemangsproduktioner;Konferensarrangörer;Uthyrning;Grossister;Nöjesparker",https://www.allabolag.se/foretag/kikiriki-ab/askim/-/5564283074
"KFAB Sverige AB",556621-4242,26196,4,"856 33 Sundsvall","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Företagsutveckling;Elektronik - Tillverkning;Möbler, inredning, kök- och belysningsutrustning;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kfab-sverige-ab/sundsvall/-/5566214242
"Jansson DataSystem Aktiebolag",556289-0284,44906,14,"252 20 Helsingborg","Datorer - Kringutrustningar;Datorer - Service;Data - Programvaror;Data- och TV-spel;Datorer;Kontorsinredningar;Grossister;Reparatörer;Datorer och kringutrustningar - Partihandel;Detaljhandel",https://www.allabolag.se/foretag/jansson-datasystem-aktiebolag/helsingborg/-/5562890284
"Jannes Färg och Tapet Aktiebolag",556303-7760,21366,12,"434 42 Kungsbacka","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/jannes-f%C3%A4rg-och-tapet-aktiebolag/kungsbacka/-/5563037760
"Iris Hantverk AB",556058-3527,35398,16,"122 33 Enskede","Borstar, penslar;Postorder/e-handel;Kontorstjänster;Borstar, penslar - tillverkning;Möbler, inredning, kök- och belysningsutrustning;Producenter;Butikshandel;Butikshandel -övrigt;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/iris-hantverk-ab/enskede/-/5560583527
"Interiörgolv i Helsingborg AB",556529-7347,22603,14,"025
22 603","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/interi%C3%B6rgolv-i-helsingborg-ab/helsingborg/-/5565297347
"Interior Design Collection Luleå AB",556560-9681,37637,6,"972 34 Luleå","Arkitekter;Belysningsarmatur - Komponenter;Designers, formgivare;Grossister",https://www.allabolag.se/foretag/interior-design-collection-lule%C3%A5-ab/lule%C3%A5/-/5565609681
"Inredningshuset i Östersund AB",556522-2584,20240,6,"831 72 Östersund","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/inredningshuset-i-%C3%B6stersund-ab/%C3%B6stersund/-/5565222584
"Inredningshuset Kontorscenter Västerbotten AB",556853-8739,48656,16,"906 21 Umeå","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/inredningshuset-kontorscenter-v%C3%A4sterbotten-ab/ume%C3%A5/-/5568538739
"Inredningsbolaget Wermland AB",556621-1982,40657,11,"653 46 Karlstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/inredningsbolaget-wermland-ab/karlstad/-/5566211982
"Input interiör Kinna AB",556555-9118,39292,6,"421 30 Västra Frölunda","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/input-interi%C3%B6r-kinna-ab/v%C3%A4stra-fr%C3%B6lunda/-/5565559118
"Input interiör Helsingborg AB",556176-7236,47981,12,"254 67 Helsingborg","Hushållsutrustningar, vitvaror;Möbler;Grossister;Hushållsutrustningar, vitvaror - grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/input-interi%C3%B6r-helsingborg-ab/helsingborg/-/5561767236
"Input interiör Halmstad Aktiebolag",556261-7174,48143,8,"302 38 Halmstad","Möbler;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/input-interi%C3%B6r-halmstad-aktiebolag/halmstad/-/5562617174
"Input Interiör Skaraborg Aktiebolag",556122-9484,24258,6,"421 30 Västra Frölunda","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/input-interi%C3%B6r-skaraborg-aktiebolag/v%C3%A4stra-fr%C3%B6lunda/-/5561229484
"Inprove Construction AB",559147-2039,24837,4,"112 31 Stockholm","Arkitekter;Belysningsarmatur - Komponenter;Designers, formgivare;Byggmästare;Snickeriarbeten;Grossister",https://www.allabolag.se/foretag/inprove-construction-ab/stockholm/-/5591472039
"INTERVETRO AB",556642-4791,38528,8,"561 61 Tenhult","Kontorsinredningar;Uthyrning;Grossister",https://www.allabolag.se/foretag/intervetro-ab/tenhult/-/5566424791
"IM Sweden EX AB",556810-1058,33150,5,"439 74 Fjärås","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/im-sweden-ex-ab/fj%C3%A4r%C3%A5s/-/5568101058
"Högberga Bygg AB",556483-9297,26847,15,"152 42 Södertälje","Byggmästare;Möbler;Snickeriarbeten;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/h%C3%B6gberga-bygg-ab/s%C3%B6dert%C3%A4lje/-/5564839297
