ICP_Score,ICP_Reasons,OrgNr,Name,Email,Phone,Is_AB,Reg_Year,Company_Age,Employees,Branch,Branch_Segment,SNI_Code,Omsattning_SEK,Omsattning_Year,Rorelseresultat_SEK,Arets_Resultat_SEK,Kortfristiga_Skulder_SEK,Langfristiga_Skulder_SEK,Lender_Keywords,Keyword_Line_1,Recent_Year_Value,Previous_Year_Value,Keyword_Line_2,Recent_Year_Value,Previous_Year_Value
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5566838081,Zwedberg Partners AB,info@zp.se,+4687823910,true,2005,21,2,Konsultverksamhet avseende företags organisation,core,,10356000,2025,9050000,6504000,1579000,3000,Kreditinstitut,Övriga skulder till kreditinstitut,0,,Övriga skulder till kreditinstitut,0105000,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5569339616,bygg & inredning gotland AB,byggwiba@boig.se,+46730731959,true,2013,13,4,Byggande av bostadshus och andra byggnader,core,,10274000,2025,216000,175000,1554000,52000,Kreditinstitut,Övriga skulder till kreditinstitut,51646,136057,Övriga skulder till kreditinstitut,72000,72000
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5561906693,Veinge Specialsnickeri Aktiebolag,,+4643018498,true,1975,51,4,Tillverkning av övriga byggnads- och inredningssnickerier,core,,9125000,2025,1542000,1036000,1731000,80000,Marginalen,,,,,,
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5590752803,Uniq by Hand of Sweden AB,vs@nibot.se,,true,2016,10,7,Redovisning och bokföring; skatterådgivning,core,,7908000,2025,333000,329000,968000,52000,Kreditinstitut,Övriga skulder till kreditinstitut,51652,133477,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5568177256,Öregrund bryggan AB,hamn.bryggans@gmail.com,+4617331042,true,2010,16,4,Restaurangverksamhet,secondary,,7844000,2025,1090000,1097000,755000,,Kreditinstitut,Övriga skulder till kreditinstitut,021,6341,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567982219,Finsmakeriet i Bollnäs AB,kontakt@finsmakeriet.se,+4627840038,true,2009,17,4,Tillverkning av kex och konserverade bakverk,secondary,,7772000,2025,342000,97000,893000,753000,Kreditinstitut,Övriga skulder till kreditinstitut,753000,801000,Övriga skulder till kreditinstitut,48000,141739
10,"AB,revenue_core,employees_core,age_soft,branch_core,has_lender_debt",5591836878,Your CFO 46 AB,info@yourcfo.se,+4631146646,true,2018,8,3,Redovisning och bokföring; skatterådgivning,core,,7602000,2025,116000,-52000,987000,442000,Kreditinstitut,Övriga skulder till kreditinstitut,6,,,,
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5561241851,Nilenfors Trappindustri Aktiebolag,info@nilenfors.se,+4637115639,true,1972,54,6,Tillverkning av övriga byggnads- och inredningssnickerier,core,,7527000,2024,-396000,-237000,1497000,815000,Kreditinstitut,Övriga skulder till kreditinstitut,815000,1181448,Övriga skulder till kreditinstitut,366448,401936
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5590450622,Reaktor AB,,,true,2016,10,2,Hotellverksamhet utan restaurangrörelse,secondary,,7088000,2025,1184000,621000,19358000,12294000,Kreditinstitut,Övriga skulder till kreditinstitut,,3550000,Övriga skulder till kreditinstitut,540,00040000
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5565797437,Lövåsgårdens Fjällhotell AB,anders@lovasgarden.se,+4625329029,true,2000,26,4,Hotellverksamhet med restaurangrörelse,secondary,,6871000,2025,179000,-150000,1535000,4784000,Kreditinstitut,Övriga skulder till kreditinstitut,4484137,4484000,Övriga skulder till kreditinstitut,259542,480000
10,"AB,revenue_core,employees_core,age_soft,branch_core,has_lender_debt",5591637045,OTTO-ROBY allt-i-ett AB,,+46762277826,true,2018,8,4,Byggnadssnickeriarbeten,core,,6834000,2023,1428000,1125000,2997000,178000,Kreditinstitut,Övriga skulder till kreditinstitut,417,,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567879100,Ylvas Våffelstuga AB,ylva.georgsdotter@gmail.com,+4628021272,true,2009,17,4,Restaurangverksamhet,secondary,,6791000,2025,1225000,697000,479000,888000,Kreditinstitut,Övriga skulder till kreditinstitut,888000,954000,Övriga skulder till kreditinstitut,66000,66000
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5564892809,Sandsbacken AB,,+46702650789,true,1994,32,3,Hotellverksamhet med restaurangrörelse,secondary,,6734000,2024,-877000,-889000,2440000,,Kreditinstitut,Övriga skulder till kreditinstitut,712605,0,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567472542,Hotell Temperance i Hudiksvall AB,danbrockpetersen@gmail.com,,true,2008,18,4,Hotellverksamhet utan restaurangrörelse,secondary,,6572000,2025,422000,6000,19000,5465000,Kreditinstitut,Övriga skulder till kreditinstitut,4662000,3668454,Övriga skulder till kreditinstitut,63,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567697239,Wallins Husmanskost i Västerås AB,mickeshusman@gmail.com,+462164010,true,2008,18,4,Restaurangverksamhet,secondary,,6491000,2025,427000,535000,775000,,Kreditinstitut,Övriga skulder till kreditinstitut,6539,0,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5563188050,Sängman i Bor Aktiebolag,info@sangman.se,+46370658260,true,1988,38,4,Tillverkning av andra möbler och madrasser,secondary,,6455000,2025,-389000,-525000,2294000,1731000,Kreditinstitut,Övriga skulder till kreditinstitut,1029037,606678,Övriga skulder till kreditinstitut,639600,573127
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5568255755,WinAct Solutions AB,johannes.lindgren@winact.se,+46768457334,true,2010,16,1,Teknisk konsultverksamhet inom industriteknik,core,,6390000,2024,1382000,1143000,884000,155000,Kreditinstitut,Övriga skulder till kreditinstitut,155103,0,,,
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5566827316,ae & se Förvaltning AB,eliassonandreas1@gmail.com,+4630062016,true,2005,21,5,Konsultverksamhet avseende företags organisation,core,,6080000,2025,1897000,1479000,2803000,16000,Kreditinstitut,Övriga skulder till kreditinstitut,5,,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5590117817,Hotell & Restaurang Sydjemten AB,info@sydjemten.se,+4668710785,true,2015,11,4,Hotellverksamhet med restaurangrörelse,secondary,,5853000,2024,497000,356000,244000,1216000,Kreditinstitut,Skulder till kreditinstitut,,1230815,Skulder till kreditinstitut,16240,111240
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5564328721,Westerfrakt Aktiebolag,johan@westerfrakt.se,+4615234660,true,1992,34,1,Byggande av bostadshus och andra byggnader,core,,5686000,2025,482000,397000,473000,776000,Kreditinstitut,Övriga skulder till kreditinstitut,402,5752,Övriga skulder till kreditinstitut,402,3808
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5564813771,Bohuslänska Bageriet AB,,+46101729950,true,1994,32,4,Tillverkning av mjukt matbröd och färska bakverk,secondary,,5634000,2025,102000,92000,468000,,Kreditinstitut,Övriga skulder till kreditinstitut,38758,62837,,,
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5562846583,Västanhede Office AB,info@forsbergsbuss.se,+4618103550,true,1986,40,9,Redovisning och bokföring; skatterådgivning,core,,5398000,2024,309000,241000,1304000,,Kreditinstitut,Övriga skulder till kreditinstitutFöretagsinteckningar,,,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567339717,Träum möbel och inredningssnickeri i Stockholm AB,nisse@traumsnickeri.se,+46705606919,true,2007,19,4,Industridesign och modedesign,secondary,,5257000,2025,519000,497000,1025000,85000,Kreditinstitut,Övriga skulder till kreditinstitut,085063,,Övriga skulder till kreditinstitut,03180,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567108815,Provosov Fastighets AB,info@vikon.se,,true,2007,19,3,Hotellverksamhet utan restaurangrörelse,secondary,,4958000,2024,584000,-12000,1396000,17776000,Kreditinstitut,Övriga skulder till kreditinstitut,,0,Övriga skulder till kreditinstitut,380000,0
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5590268982,West Croft AB,daniel@wsgroup.se,,true,2015,11,4,Hotellverksamhet utan restaurangrörelse,secondary,,4911000,2025,-2018000,-2252000,1357000,5480000,Kreditinstitut,Övriga skulder till kreditinstitut,,3900000,Övriga skulder till kreditinstitut,216000,0
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567146807,Wirsbo Bud & Transport AB,wirsbo.transport@outlook.com,+46705778595,true,2006,20,2,Logistikverksamhet,secondary,,4847000,2025,347000,124000,600000,542000,Kreditinstitut,Övriga skulder till kreditinstitut,107,,Övriga skulder till kreditinstitut,108,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5566038963,Mercurex AB,Info@treetopspa.se,+4631553981,true,2001,25,2,Hotellverksamhet med restaurangrörelse,secondary,,4728000,2024,-3578000,-3211000,15751000,471000,Kreditinstitut,Övriga skulder till kreditinstitut,333338,600004,Övriga skulder till kreditinstitut,399996,399996
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5563711083,JENNICO Aktiebolag,info@klockargarden.nu,+4617330065,true,1989,37,2,Hotellverksamhet utan restaurangrörelse,secondary,,4622000,2024,372000,271000,531000,350000,Kreditinstitut,Övriga skulder till kreditinstitut,0,,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5566653183,Kalle Koppar AB,jennylundin@telia.com,,true,2004,22,3,Hotellverksamhet med restaurangrörelse,secondary,,4462000,2024,-19000,-486000,1522000,8299000,Kreditinstitut,Övriga skulder till kreditinstitut,,8388500,Övriga skulder till kreditinstitut,390000,390000
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5566208137,TEG AB,,+46498214970,true,2001,25,2,Annan stödverksamhet avseende transport,secondary,,4363000,2025,-491000,2120000,41256000,,Kreditinstitut,Skulder till kreditinstitut,73039,77200,Skulder till kreditinstitut,42710,45500
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5569497927,Träförädling i Gnarp AB,info@traforadling.com,,true,2013,13,4,Tillverkning av kontors- och butiksmöbler,secondary,,4349000,2025,229000,150000,611000,105000,Kreditinstitut,Övriga skulder till kreditinstitut,5000,155400,Övriga skulder till kreditinstitut,650,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5590238985,Vimmerby Bowling AB,,,true,2015,11,4,Restaurangverksamhet,secondary,,4209000,2025,354000,289000,626000,3244000,Kreditinstitut,Övriga skulder till kreditinstitut,,3774645,Övriga skulder till kreditinstitut,394204,397681
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5569400517,Zaff Gothenburg AB,javan.f@hotmail.com,+4631101101,true,2013,13,4,Restaurangverksamhet,secondary,,4010000,2024,844000,500000,529000,19000,Kreditinstitut,Övriga skulder till kreditinstitut,19,,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5569686735,Norbergs Konfektyr AB,tomas_norberg@telia.com,+46706250484,true,2014,12,2,Tillverkning av mjukt matbröd och färska bakverk,secondary,,4023000,2024,330000,190000,209000,926000,Kreditinstitut,Övriga skulder till kreditinstitut,926247,1023964,Övriga skulder till kreditinstitut,93852,83253
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5565491403,Västerorts Lackcenter AB,anna@vlc.se,,true,1998,28,2,Tillverkning av andra möbler och madrasser,secondary,,4014000,2024,729000,-7000,786000,9439000,Kreditinstitut,Övriga skulder till kreditinstitut,8659515,9104618,Övriga skulder till kreditinstitut,435852,426600
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567376214,Roynes Magasin Aktiebolag,info@roynesmagasin.se,,true,2007,19,2,Hotellverksamhet med restaurangrörelse,secondary,,3953000,2024,129000,95000,256000,3000,Kreditinstitut,Övriga skulder till kreditinstitut,7500,97500,Övriga skulder till kreditinstitut,90000,90000
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5569349912,Vörtpannan AB,lotta@vortpannan.se,,true,2013,13,3,Restaurangverksamhet,secondary,,3919000,2024,-50000,-15000,452000,770000,Kreditinstitut,Övriga skulder till kreditinstitut,149992,199996,Övriga skulder till kreditinstitut,50,00450004
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5590178710,Älvsby ekonomi och företagsservice AB,erika@alvsbyekonomi.se,,true,2015,11,5,Redovisning och bokföring; skatterådgivning,core,,3876000,2024,13000,2293000,804000,714000,Kreditinstitut,Övriga skulder till kreditinstitut,487500,0,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5590612965,ZerZeg AB,stennordahl215@gmail.com,,true,2016,10,3,Restaurangverksamhet,secondary,,3721000,2025,322000,254000,114000,74000,Kreditinstitut,Övriga skulder till kreditinstitut,39715,39715,Övriga skulder till kreditinstitut,0158820,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5567527980,Park Hotell i Västervik AB,info@hotellpark.se,+4649010806,true,2008,18,2,Hotellverksamhet utan restaurangrörelse,secondary,,3667000,2025,199000,106000,834000,2317000,Kreditinstitut,Övriga skulder till kreditinstitut,2157064,2322001,Övriga skulder till kreditinstitut,168204,168204
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5590154257,Viksjö TacoBar AB,bircan8@hotmail.com,+46851161170,true,2015,11,4,Restaurangverksamhet,secondary,,3667000,2025,193000,7000,511000,275000,Kreditinstitut,Övriga skulder till kreditinstitut,174047,0,Övriga skulder till kreditinstitut,191676,0
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5566494497,Kolåsens fjällhotell Bra utpost AB,info@kolasen.se,+4664781017,true,2003,23,4,Hotellverksamhet med restaurangrörelse,secondary,,3656000,2024,186000,177000,297000,254000,Kreditinstitut,Övriga skulder till kreditinstitut,30206,100191,Övriga skulder till kreditinstitut,69,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5568500937,Österdahls Brygga Bar & Kök AB,,+4649858060,true,2011,15,3,Restaurangverksamhet,secondary,,3621000,2024,57000,26000,298000,149000,Kreditinstitut,Övriga skulder till kreditinstitut,148756,125922,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5566205620,Hotell Leksand AB,info@hotelleksand.com,,true,2001,25,2,Hotellverksamhet med restaurangrörelse,secondary,,3603000,2025,67000,18000,405000,3723000,Kreditinstitut,Övriga skulder till kreditinstitut,3684900,3770100,Övriga skulder till kreditinstitut,85200,85200
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5568598279,Zpinach AB,roni@zacharion.com,,true,2011,15,1,Konsultverksamhet avseende företags organisation,core,,3544000,2024,439000,426000,342000,2123000,Kreditinstitut,Övriga skulder till kreditinstitut,,,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5590236781,qlp entreprenad AB,pepelive@live.se,+46732298808,true,2015,11,2,Restaurangverksamhet,secondary,,3510000,2024,1425000,774000,470000,1458000,Kreditinstitut,Övriga skulder till kreditinstitut,1457888,990002,Övriga skulder till kreditinstitut,0210217,
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5568769896,Yster Business Management AB,,,true,2012,14,1,Konsultverksamhet avseende företags organisation,core,,3483000,2025,1882000,1170000,838000,,Kreditinstitut,Övriga skulder till kreditinstitut,27436,3022,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5566283288,Äppelgården i Båstad AB,,+4643122393,true,2002,24,4,Restaurangverksamhet,secondary,,3397000,2024,-2583000,-3447000,1251000,15920000,Kreditinstitut,Övriga skulder till kreditinstitut,11749850,12249850,Övriga skulder till kreditinstitut,500000,500000
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5565659223,Melderstein Herrgård AB,info@melderstein.se,+4692451037,true,1999,27,2,Hotellverksamhet med restaurangrörelse,secondary,,3115000,2024,473000,201000,493000,2000000,Kreditinstitut,Övriga skulder till kreditinstitut,1300000,1300000,,,
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5563021335,Långshyttans Brukshotell Aktiebolag,info@brukshotellet.se,+4622560054,true,1987,39,4,Hotellverksamhet med restaurangrörelse,secondary,,3084000,2025,-445000,-528000,747000,629000,Kreditinstitut,Övriga skulder till kreditinstitut,498798,347263,Övriga skulder till kreditinstitut,191292,114504
10,"AB,revenue_core,employees_core,age_core,branch_secondary,has_lender_debt",5565872040,Persåsen Upplevelser AB,,+46643445550,true,2000,26,2,Hotellverksamhet med restaurangrörelse,secondary,,3063000,2025,-99000,6000,856000,1286000,Kreditinstitut,Övriga skulder till kreditinstitut,6000,654000,Övriga skulder till kreditinstitut,418000,168000
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5590502794,Maxwell Advokatbyrå AB,jc@maxwelladvokater.se,,true,2016,10,2,Advokatbyråverksamhet,core,,2986000,2024,155000,85000,610000,48000,Kreditinstitut,Övriga skulder till kreditinstitut,48383,157721,Övriga skulder till kreditinstitut,113000,116581
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5568383839,Veen Huis Ekonomi AB,carina@veenhuis.se,,true,2011,15,2,Redovisning och bokföring; skatterådgivning,core,,2863000,2025,84000,57000,200000,543000,Kreditinstitut,Övriga skulder till kreditinstitut,054,2715,,,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5590440805,Törnros Fastigheter AB,,,true,2015,11,4,Byggande av bostadshus och andra byggnader,core,,8150000,2024,110000,-142000,7020000,1720000,Kreditinstitut,Övriga skulder till kreditinstitut,6444526,854057,,,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5590190707,Transportexperten i Skandinavien AB,,+46705838280,true,2015,11,2,Konsultverksamhet avseende företags organisation,core,,2723000,2024,-9000,33000,954000,657000,Kreditinstitut,Övriga skulder till kreditinstitut,6780,580322,,,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5590250816,Umdi Advokatbyrå AB,sait@advokatumdi.se,+46406160055,true,2015,11,3,Advokatbyråverksamhet,core,,2699000,2024,82000,63000,467000,196000,Kreditinstitut,Övriga skulder till kreditinstitut,196,,Övriga skulder till kreditinstitut,180480,150000
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5568224512,elektronisk Redovisning i Sverige AB,info@e-redovisning.se,+4686010000,true,2010,16,3,Redovisning och bokföring; skatterådgivning,core,,2682000,2025,239000,169000,365000,33000,Kreditinstitut,Skulder till kreditinstitut,80,87500,Not Skulder till kreditinstitut,8,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5566204425,mSecurity AB,info@msecurity.se,,true,2002,24,2,Konsultverksamhet avseende företags organisation,core,,2254000,2025,-167000,-25000,421000,6389000,Kreditinstitut,Övriga skulder till kreditinstitut,5,,kreditinstitut,0,5836853
9,"AB,revenue_soft,employees_core,age_core,branch_secondary,has_lender_debt",5566325667,PLNK Transport AB,,+4615214091,true,2002,24,4,Annan stödverksamhet avseende transport,secondary,,14822000,2025,1944000,838000,4453000,7269000,Kreditinstitut,Övriga skulder till kreditinstitut,,6613101,Övriga skulder till kreditinstitut,,1667424
9,"AB,revenue_soft,employees_soft,age_core,branch_core,has_lender_debt",5564754876,Nivell System Aktiebolag,info@nivellsystem.se,+4650171590,true,1993,33,5,Tillverkning av övriga byggnads- och inredningssnickerier,core,,13390000,2024,-801000,-895000,2218000,1263000,Kreditinstitut,Övriga skulder till kreditinstitut,8910,651774,Övriga skulder till kreditinstitut,192864,192861
9,"AB,revenue_soft,employees_soft,age_core,branch_core,has_lender_debt",5566970439,Wiklunds Snickerifabrik AB,,+46101574644,true,2011,15,8,Tillverkning av övriga byggnads- och inredningssnickerier,core,,13248000,2024,448000,317000,2542000,228000,Kreditinstitut,Övriga skulder till kreditinstitut,227511,385013,Övriga skulder till kreditinstitut,345000,219996
9,"AB,revenue_soft,employees_core,age_core,branch_secondary,has_lender_debt",5567901532,Tvärskogs Flisfrakt AB,per.tvarskog@telia.com,+46706211724,true,2009,17,3,Tillverkning av fasta bränslen av vegetabilisk biomassa,secondary,,13045000,2025,3544000,1331000,6996000,6433000,Kreditinstitut,Övriga skulder till kreditinstitut,756,294,Övriga skulder till kreditinstitut,1825680,1281288
9,"AB,revenue_soft,employees_core,age_core,branch_secondary,has_lender_debt",5568013402,Nova Hus AB,info@novahus.se,,true,2010,16,3,Tillverkning av monteringsfärdiga trähus,secondary,,12593000,2024,430000,193000,6395000,1526000,Kreditinstitut,Övriga skulder till kreditinstitut,1526113,1634509,Övriga skulder till kreditinstitut,113196,117996
9,"AB,revenue_soft,employees_soft,age_core,branch_core,has_lender_debt",5566504907,Widgrens Bokföringsbyrå AB,info@widgrens.se,,true,2003,23,10,Redovisning och bokföring; skatterådgivning,core,,12292000,2025,3007000,2677000,1575000,10000,Kreditinstitut,Övriga skulder till kreditinstitut,14,,,,
9,"AB,revenue_soft,employees_soft,age_core,branch_core,has_lender_debt",5565614699,Östermalms Snickeri AB,,+4621413070,true,1998,28,7,Tillverkning av övriga byggnads- och inredningssnickerier,core,,11596000,2025,131000,75000,4224000,1742000,Kreditinstitut,Övriga skulder till kreditinstitut,762500,212500,Övriga skulder till kreditinstitut,0,000150000
9,"AB,revenue_soft,employees_core,age_core,branch_secondary,has_lender_debt",5567007389,Werma Wermlands Maskin Aktiebolag,magnus.hedlund@werma.se,+46702991605,true,2006,20,3,Installation av industrimaskiner och -utrustning,secondary,,11242000,2025,1106000,980000,1634000,244000,Kreditinstitut,Övriga skulder till kreditinstitut,050,0000,,,
9,"AB,revenue_soft,employees_soft,age_core,branch_core,has_lender_debt",5564673860,Snickerit Norrköping Aktiebolag,info@snickerit.com,,true,1993,33,8,Tillverkning av övriga byggnads- och inredningssnickerier,core,,11163000,2024,912000,653000,2640000,1748000,Kreditinstitut,Övriga skulder till kreditinstitut,,1770000,Övriga skulder till kreditinstitut,24000,24000
9,"AB,revenue_soft,employees_core,age_core,branch_secondary,has_lender_debt",5568826480,Prettyworks AB,,,true,2012,14,3,Tillverkning av andra möbler och madrasser,secondary,,11128000,2024,-156000,5000,1637000,542000,Svea,,,,,,
9,"AB,revenue_soft,employees_soft,age_core,branch_core,has_lender_debt",5567692628,Value Accounting AB,,+4686482030,true,2008,18,10,Redovisning och bokföring; skatterådgivning,core,,11090000,2025,1449000,997000,1555000,42000,Kreditinstitut,Övriga skulder till kreditinstitut,041663,,Övriga skulder till kreditinstitut,41663,286275
9,"AB,revenue_soft,employees_soft,age_core,branch_core,has_lender_debt",5568799091,Zigrid AB,jan.bjorkman@mauritzab.se,,true,2013,13,8,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik",core,,10596000,2024,-4384000,-4642000,4999000,1691000,Almi;Kreditinstitut,Skulder till kreditinstitut,,2833921,Skulder till kreditinstitut,,1412967
9,"AB,revenue_soft,employees_core,age_core,branch_secondary,has_lender_debt",5565681433,Älvsby Ytbehandling AB,,+4692912086,true,1999,27,4,Tillverkning av kontors- och butiksmöbler,secondary,,10322000,2025,783000,302000,972000,2295000,Kreditinstitut,Övriga skulder till kreditinstitut,2295420,2409186,Övriga skulder till kreditinstitut,113808,113808
9,"AB,revenue_soft,employees_core,age_core,branch_secondary,has_lender_debt",5567372908,Killevipp AB,henrik@nygrenbygg.se,,true,2007,19,3,Tillverkning av mjukt matbröd och färska bakverk,secondary,,9750000,2024,3599000,2871000,1987000,33000,Kreditinstitut,Övriga skulder till kreditinstitut,0,43500,,,
