orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,domain,email,contact_page,source,is_webshop,webshop_signals,webshop_platform,webshop_debug,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons,debug
559313-1344,Have a great hair day AB,Have a great hair day AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Västernorrland,Örnsköldsvik,Örnsköldsvik,891 41,Björnavägen 41 a,14088000,2025-12,sweet_spot,true,2,,,,,,https://www.allabolag.se/foretag/have-a-great-hair-day-ab/ornskoldsvik/-/2KI07RKI63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Have%20a%20great%20hair%20day%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556470-0556,Linfalk AB,Linfalk AB,E-handel,E-handel,Järnvaror; E-handel; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Östergötland,Linköping,Linköping,582 78,Fågelögatan 2,14030000,2025-12,sweet_spot,true,3,,+46 13 31 40 20,info@linfalk.se,https://www.linfalk.se/,https://www.linfalk.se/,https://www.allabolag.se/foretag/linfalk-ab/linkoping/-/2K12UFGI5YDVM,already_present,,,linfalk.se,info@linfalk.se,https://linfalk.se,static,yes,product_cards; priced_cards,,static@https://linfalk.se:pricedCards(priceMicrodata) | static@https://linfalk.se:productCards(54) | DECISION@static@https://linfalk.se,80,5,21,27,0,0,0,69,0,100,40,no,,65,"is_webshop, catalog_50plus, seo_gap_low, thin_product_copy, has_email",sitemap:80_products_from_2_sitemaps | seo_sampled:5 gap:40
556495-5408,Bäckmans,OM Bäckmans Maskin & Trädgård AB,Trädgård,"Trädgårdsmaskiner, trädgårdsredskap","Trädgårdsmaskiner, trädgårdsredskap; Lantbruksmaskiner, förnödenheter - grossist; Lantbruksmaskiner, förnödenheter; Grossister",Skåne,Bromölla,BROMÖLLA,29539,Sockerbruksvägen 1,14025000,2024-12,sweet_spot,true,3,,+46 456 491 20; +46 70 976 30 29; +46 70 976 39 29,lars@backmanmaskin.se,https://www.backmansbromolla.se,https://www.backmansbromolla.se,https://www.allabolag.se/foretag/om-backmans-maskin-och-tradgard-ab/bromolla/-/2K18B2OI5YI5D,already_present,,,backmansbromolla.se,lars@backmanmaskin.se; ola@backmanmaskin.se,https://backmansbromolla.se/kontakt,browser,no,sampled_3,,main@https://backmansbromolla.se/:samplingRan(sampled=3) | sampleURL@https://backmansbromolla.se/foretaget/:status=200 | sampleURL@https://backmansbromolla.se/vara-leverantorer/:status=200 | sampleURL@https://backmansbromolla.se/aktuellt/:status=200,,,,,,,,,,,,no,,5,has_identity,
559432-1233,RA Macken AB,RA Macken AB,Smycken,Butikshandel,Butikshandel; Bensinstationer,Västmanland,Sala,Västerfärnebo,733 62,Tappebo 134,13956000,2025-08,sweet_spot,true,8,,,,,,https://www.allabolag.se/foretag/ra-macken-ab/sala/-/2KIPPW1I63ILL,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:16 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=RA%20Macken%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559074-0782,Ranviks Trädgård AB,Ranviks Trädgård AB,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,Skåne,Båstad,Båstad,269 42,Tarravägen 67,13937000,2025-06,sweet_spot,true,8,,+46 73 933 86 59; +46 76 867 61 46,,,https://ranvik.se,https://www.allabolag.se/foretag/ranviks-tradgard-ab/bastad/-/2KGKZ72I63IHJ,mojeek,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:22 | mojeek_picked:ranvik.se(score=14),ranvik.se,uraevx@enaivx.fr; vasb@enaivx.fr,https://ranvik.se,static,no,product_cards,,static@https://ranvik.se:productCards(2),,,,,,,,,,,,no,,0,not_webshop,
556923-0278,Leklust AB,Leksaker i Västerås AB,Leksaker,"Spel, nöjesanläggningsutrustningar","Spel, nöjesanläggningsutrustningar; Butikshandel; Detaljhandel",Västmanland,Västerås,Västerås,722 15,Vasagatan 18,13856000,2024-12,sweet_spot,true,7,,0737553778,,,http://www.leklust.se/,https://www.allabolag.se/foretag/leksaker-i-vasteras-ab/vasteras/-/2K3RXL2I5YHPS,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/leksaker-i-vasteras-ab/v%C3%A4ster%C3%A5s/jpbbzaalc | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,leklust.se,,https://leklust.se,static,no,product_cards,,static@https://leklust.se:productCards(19),,,,,,,,,,,,no,,5,has_identity,
556184-8499,BE Trädgård AB,BE Trädgård AB,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,Västerbotten,Skellefteå,Skellefteå,931 44,Kronbodgatan 5,13800000,2025-08,sweet_spot,true,11,,+46 8 634 44 30,,,http://blomsterslottet.interflora.se,https://www.allabolag.se/foretag/be-tradgard-ab/skelleftea/-/2K3C0BXI63IHJ,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/be+tr%C3%A4dg%C3%A5rd+ab/skellefte%C3%A5/cnpqqtbzd | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,blomsterslottet.interflora.se,medlemshantering@interflora.se; u003emedlemshantering@interflora.se,https://www.interflora.se/kontakta-oss,browser,yes,checkout_provider; checkout; provider:klarna,klarna,main@https://www.interflora.se/:hasCheckout(uiPhrase) | main@https://www.interflora.se/:providers(klarna) | DECISION@main@https://www.interflora.se/ | contact_like@https://www.interflora.se/kontakta-oss:hasCheckout(uiPhrase) | contact_like@https://www.interflora.se/kontakta-oss:providers(klarna) | DECISION@contact_like@https://www.interflora.se/kontakta-oss,12,,,,,,,,,,,no,,45,"is_webshop, platform:klarna, catalog_small, has_email, has_orgnr",dom_fallback:12_urls
559323-5145,Moderna Smycken Jönköping AB,Moderna Smycken Jönköping AB,Smycken,Urmakare,"Urmakare; Klockor, ur; Guld, silver, ädelstenar; Butikshandel",Jönköping,Jönköping,Jönköping,553 21,Östra Storgatan 5,13765000,2025-08,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/moderna-smycken-jonkoping-ab/jonkoping/-/2KI2FUXI63IL5,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Moderna%20Smycken%20J%C3%B6nk%C3%B6ping%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556459-4868,Bürgers Växtgård AB,Bürgers Växtgård Aktiebolag,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,,,,,,13737000,2024-12,sweet_spot,true,9,,,,,,https://www.allabolag.se/foretag/b-rgers-vaxtgard-ab/-/-/2K10KVOI63IHJ,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=B%C3%BCrgers%20V%C3%A4xtg%C3%A5rd%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556062-8629,Barcom Hem-Elektronik Aktiebolag,Barcom Hem-Elektronik Aktiebolag,Hemelektronik,Elektronik- och telekommunikationsutrustning,"Elektronik- och telekommunikationsutrustning; Elektronik- och telekommunikationsutrustning - grossist; Grossister; Datorer - Kringutrustningar; Datorer och kringutrustningar - tillverkning; Producenter; Metaller, legeringar - grossist",Stockholm,Solna,Solna,171 48,Industrivägen 21,13730000,2025-04,sweet_spot,true,1,,,,,,https://www.allabolag.se/foretag/barcom-hem-elektronik-aktiebolag/solna/-/2JYNKIDI63IFR,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Barcom%20Hem-Elektronik%20Aktiebolag%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559269-6255,We are Beauty AB,We are Beauty AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Detaljhandel; Postorder/e-handel; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,114 46,Grev Turegatan 11 a 5 Trappor,13682000,2024-12,sweet_spot,true,4,,,,,,https://www.allabolag.se/foretag/we-are-beauty-ab/stockholm/-/2KHQW1RI63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=We%20are%20Beauty%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559060-7684,Dentalum Östersund AB,Dentalum Östersund AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Jämtland,Östersund,Östersund,831 31,Prästgårdsgatan 28,13680000,2025-06,sweet_spot,true,6,,+46 63 10 54 50; +46 63 10 89 50,,,https://curatandvard.se/,https://www.allabolag.se/foretag/dentalum-ostersund-ab/ostersund/-/2K3JF87I63IHB,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/cura-tandvard/stockholm/anrbikln | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,curatandvard.se,,https://curatandvard.se,static,no,product_cards,,static@https://curatandvard.se:productCards(2),,,,,,,,,,,,no,,0,not_webshop,
556568-3330,Skearyd Trädgård AB,Skearyd Trädgård AB,Trädgård,Jordbruk,"Jordbruk; Jordbruk - odling; Grossister; Växtservice, kontorsservice",Blekinge,Karlskrona,Jämjö,373 75,Skearydsvägen 36,13626000,2025-08,sweet_spot,true,5,,,,,http://www.skearyd.se/,https://www.allabolag.se/foretag/skearyd-tradgard-ab/karlskrona/-/2K1NWQQI63IHJ,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/skearyd+tr%C3%A4dg%C3%A5rd+ab/j%C3%A4mj%C3%B6/nqudiacpq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,skearyd.se,,https://skearyd.se,browser,no,,,,,,,,,,,,,,,no,,0,not_webshop,
559348-4776,The Untamed of the North Aktiebolag,The Untamed of the North Aktiebolag,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,114 56,Torstenssonsgatan 8 a,13528000,2024-12,sweet_spot,true,4,,,,,,https://www.allabolag.se/foretag/the-untamed-of-the-north-aktiebolag/stockholm/-/2KI7SH4I63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=The%20Untamed%20of%20the%20North%20Aktiebolag%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556678-9557,Artisan Organics Sweden AB,Artisan Organics Sweden AB,Kosmetika,"Kemikalier, industrikemikalier - tillverkning","Kemikalier, industrikemikalier - tillverkning; Kemikalier, industrikemikalier; Producenter; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Skåne,Malmö,Malmö,211 20,Grimsbygatan 24,13439000,2025-06,sweet_spot,true,5,,0406152030,,,,https://www.allabolag.se/foretag/artisan-organics-sweden-ab/malmo/-/2K2BMB9I63IHZ,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Artisan%20Organics%20Sweden%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556602-6380,Tobias Frick Ung Mode AB,Tobias Frick Ung Mode AB,Mode,Konfektion,"Konfektion; Butikshandel; Detaljhandel; Kläder, skor",Kalmar,Oskarshamn,Oskarshamn,572 30,Lilla Torget 3,13413000,2025-12,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/tobias-frick-ung-mode-ab/oskarshamn/-/2K1V9FWI63II4,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Tobias%20Frick%20Ung%20Mode%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556266-0646,Elfströms Trädårdsanläggningar AB,Elfströms Trädgårdsanläggningar Aktiebolag,Trädgård,Parkanläggningar,Parkanläggningar,Stockholm,Stockholm,Stockholm,116 38,Malmgårdsvägen 20,13353000,2025-04,sweet_spot,true,14,,+46 8 644 48 24,,,https://www.elfstromstradgard.se/,https://www.allabolag.se/foretag/elfstroms-tradgardsanlaggningar-aktiebolag/stockholm/-/2JZV4FAI63IJW,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/elfstr%C3%B6ms+tr%C3%A4dg%C3%A5rdsanl%C3%A4ggningar+ab/stockholm/lqsvbdcr | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,elfstromstradgard.se,elfstromstradgard@elfstromstradgard.com,https://elfstromstradgard.se,static,no,product_cards,,static@https://elfstromstradgard.se:productCards(2),,,,,,,,,,,,no,,5,has_identity,
556685-8766,Teamtandvården Onsala AB,Teamtandvården Onsala AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Halland,Kungsbacka,Onsala,439 30,Mariedalsvägen 6,13286000,2024-12,sweet_spot,true,13,,0300569220,,,,https://www.allabolag.se/foretag/teamtandvarden-onsala-ab/kungsbacka/-/2K2D3PQI63IHB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Teamtandv%C3%A5rden%20Onsala%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559070-7518,Lip Intimate Care Sweden AB,Lip Intimate Care Sweden AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,,,13162000,2024-12,sweet_spot,true,1,,,,,,https://www.allabolag.se/foretag/lip-intimate-care-sweden-ab/stockholm/-/2KGK9J2I63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Lip%20Intimate%20Care%20Sweden%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559186-6966,Tina Hyllander macken AB,Tina Hyllander macken AB,Smycken,Livsmedel,Livsmedel; Butikshandel; Uthyrning; Bilar; Detaljhandel; Bilreservdelar,Skåne,Kävlinge,Löddeköpinge,246 42,Marknadsvägen 1,13012000,2025-12,sweet_spot,true,6,,,,,,https://www.allabolag.se/foretag/tina-hyllander-macken-ab/kavlinge/-/2KH945YI5YFWD,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Tina%20Hyllander%20macken%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556826-0433,Skanstulls Hälsokost AB,Skanstulls Hälsokost AB,Hälsokost,Livsmedel,"Livsmedel; Hälsokost, naturläkemedel; Detaljhandel; Butikshandel",Stockholm,Stockholm,Stockholm,116 61,Ringvägen 106,12998000,2025-12,sweet_spot,true,6,,+46 8 640 81 06,,,https://skanstullshalsokost.se,https://www.allabolag.se/foretag/skanstulls-halsokost-ab/stockholm/-/2K3758XI5YFWD,mojeek,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:30 | mojeek_picked:skanstullshalsokost.se(score=22),skanstullshalsokost.se,info@skanstullshalsokost.se,https://skanstullshalsokost.se/contact,browser,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:klarna; provider:wikinggruppen,"klarna,wikinggruppen","main@https://skanstullshalsokost.se/:hasCheckout(urlPath:/checkout) | main@https://skanstullshalsokost.se/:hasCart(uiPhrase) | main@https://skanstullshalsokost.se/:pricedCards(multiPrices) | main@https://skanstullshalsokost.se/:providers(klarna,wikinggruppen) | main@https://skanstullshalsokost.se/:productCards(108) | DECISION@main@https://skanstullshalsokost.se/ | contact_like@https://skanstullshalsokost.se/contact/:hasCart(uiPhrase) | contact_like@https://skanstullshalsokost.se/contact/:providers(klarna) | DECISION@contact_like@https://skanstullshalsokost.se/contact/",,,,,,,,,,,,no,,41,"is_webshop, platform:klarna,wikinggruppen, has_email, has_orgnr",dom_fallback:0_urls
556981-2380,Svängsta Macken AB,Svängsta Macken AB,Smycken,Butikshandel,Butikshandel; Bensinstationer; Livsmedel; Bilar; Bilreparationer,Blekinge,Karlshamn,Svängsta,376 37,Holländarevägen 12,12978000,2024-12,sweet_spot,true,3,,,,,,https://www.allabolag.se/foretag/svangsta-macken-ab/karlshamn/-/2K44EQKI63ILL,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Sv%C3%A4ngsta%20Macken%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556938-9645,Stockholms Markpartner AB,Stockholms markpartner AB,Trädgård,"Markentreprenörer, anläggningsentreprenörer","Markentreprenörer, anläggningsentreprenörer; Entreprenörer; Byggmästare; Parkanläggningar; Konsulter; Teknikkonsulter; Byggentreprenader-Infrastruktur",Stockholm,Upplands Väsby,,194 52,Fritiofsväg 69,12975000,2024-12,sweet_spot,true,6,,+46 10 510 04 40,info@stockholmsmarkpartner.se,https://www.stockholmsmarkpartner.se,https://www.stockholmsmarkpartner.se,https://www.allabolag.se/foretag/stockholms-markpartner-ab/upplands-vasby/-/2K3VCJXI5YG4F,already_present,,,stockholmsmarkpartner.se,info@stockholmsmarkpartner.se,https://stockholmsmarkpartner.se,static,no,,,,,,,,,,,,,,,no,,5,has_identity,
