orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug
556439-3105,Thulin Resurs Aktiebolag,Thulin Resurs Aktiebolag,69202,,69202,TÄBY,18357,MÅSVÄGEN 1 A,Företaget har som affärside att äga och förvalta aktier i andra aktiebolag samt bedriva konsultverksamhet inom ekonomi- och it-området.,1991-12-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556439-3758,Örebro Gräv & Schakt Aktiebolag,Örebro Gräv & Schakt Aktiebolag,43120,,43120,ÖREBRO,70237,LGT 1104  EKEVÄGEN 6A,Bolaget skall bedriva entreprenadverksamhet inom byggnadsbranschen och därmed förenlig verksamhet.,1991-12-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556449-2436,CPA Global (Patrafee) AB,CPA Global (Patrafee) AB,69102,,69102; 62201; 62100,STOCKHOLM,10139,BOX 1053,"Bolagets verksamhet utgörs av konsultverksamhet avseende avgifter för patent- varumärkes- och mönsterrättigheter samt övriga immaterialrätter, registrering och upprätthållande av domännamn, konkurrentbevakning, rådgivning avseende immateriella rättigheter, utveckling och underhåll av dataprogram samt konsultverksamhet avseende IT ävensom att bedriva därmed förenlig verksamhet.",1992-06-10,active,,,http://www.cpaglobal.com/stockholm,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/cpa+global/stockholm/hkmrdcmgo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556410-1730,Stillfors Gräv Aktiebolag,Stillfors Gräv Aktiebolag,43120,,43120,BY KYRKBY,77499,RUDU 114,Aktiebolaget ska bedriva entreprenad- och markarbeten inom byggnadsbranschen samt därmed förenlig verksamhet.,1990-11-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556452-2240,Konsultéra Karin Lind-Mörnesten Aktiebolag,Konsultéra Karin Lind-Mörnesten Aktiebolag,70200,,70200,SALTSJÖBADEN,13336,RÖSUNDAVÄGEN 4,"Företaget skall vara verksamt inom marknadsföring, företags- och organisationsutveckling samt tillhandahålla tjänster inom vinindustrin, ävensom utge litterära verk samt därmed förenlig verksamhet. Företaget skall också idka handel med noterade och onoterade aktier",1992-08-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556454-3907,Silover AB,Silover AB,43999,,43999; 68320,LAHOLM,31221,BOX 16,"Aktiebolaget ska bedriva bygg- och entreprenadverksamhet, renhållning och sortering av byggavfall samt handel och förvaltning av fastigheter och värdepapper och annan därmed förenlig verksamhet",1992-10-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556435-4594,Treson Kompetens & Utveckling Aktiebolag,Treson Kompetens & Utveckling Aktiebolag,70200,,70200,DJURSHOLM,18260,VENDEVÄGEN 15,"Bolaget skall bedriva konsultverksamhet inom företagsutveckling avseende exempelvis utbildning inom ledarskap, afafärsmannskap och teamutveckling, attitydundersökningar och individuell utveckling och därmed förenlig verksamhet. Föremålet för bolagets verksamhet är också att tillhandahålla olika fomer av aktiviteter och arrangera resor med inriktning på äventyr och upplevelse, teamutveckling, indviduell utveckling och personlig hälsa.",1991-10-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556459-4769,Carljan Ekonomi AB,Carljan Ekonomi AB,69201,,69201,SANDVIKEN,81130,HYTTGATAN 14,Bolaget skall bedriva admnistrativa tjänster och handel med värdepapper.,1992-12-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556459-6921,Åke Johansson Bygg i Simrishamn AB,Åke Johansson Bygg i Simrishamn AB,41000,,41000,HAMMENHÖG,27650,BACKAVÄGEN 10,"Föremålet för bolagets verksamhet är anläggnings- och entreprenadverksamhet inom byggbranschen, äga och förvalta aktier och fastigheter, tillhandahålla alla typer av hemservice från städning och trädgårdsarbete till seniorservice och därmed förenlig verksamhet till såväl juridiska som fysiska personer.",1993-01-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556422-6966,Genarps Gräv & Schakt AB,Genarps Gräv & Schakt AB,43991,,43991; 49410,GENARP,24772,ÖSTRA ELLEBÄCKSVÄGEN 15,"Bolagets verksamhet är att bedriva markarbeten, förartjänster, entreprenadverksamhet, transport och försäljning av grus och stenmaterial och därmed förenlig verksamhet.",1991-03-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556425-7888,Limopartner Stockholm AB,Limopartner Stockholm AB,49330,,49330,SEGELTORP,14171,SJÖHAGSVÄGEN 51,Bolaget skall bedriva hyrverk och limousinverksamhet i beställningstrafik samt därmed förenlig verksamhet.,1991-05-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556282-8177,Hameau Advice AB,Hameau Advice AB,70200,,70200,NORRTÄLJE,76144,KUNGSGATAN 13,"Bolaget skall bedriva förvaltning av lös och fast egendom. Köp, försäljning, import, export, tillverkning och uthyrning inom byggnads-, verkstads-, data-, elektronik-, beklädnads-, livsmedels-, skogs-, kontors-, energi-, petrokemiska-, grafiska-, bil-, båt-, fritids-, farmaceutiska-, film-, flyg-, foto-, förpacknings-, grammofon-, leksaks-, kemisk-tekniska-, gruv-, massa & pappers-, keramiska-, ur-, turist- och glasindustrin. Företaget skall också bedriva konsultverksamhet inom underhållnings-, restaurang- och hotellbranschen, inom reklam, administration, ergonomi, utbildning, bevakning, formgivning, redovisning, ekologi och finansiering - utan att bedriva bankrörelse eller sådan rörelse som avses i lagen (1963:76) om kreditaktiebolag. Vidare skall bolaget bedriva förvaltning av och handel med värdepapper, ävensom idka därmed förenlig verksamhet.",1986-09-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556431-1354,Strömberg & Häggström AB,Strömberg & Häggström AB,43411,,43411; 25530,LYCKSELE,92145,BERGSTIGEN 3 A,Bolaget skall bedriva verkstadsindustri med plåtarbeten och därmed förenlig verksamhet.,1991-08-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556431-2881,Admired Aktiebolag,Admired Aktiebolag,69201,,69201,ÅKERSBERGA,18433,NORRA ATRIUMVÄGEN 7,"Bolaget skall bedriva administrations och redovisningstjänster samt äga och förvalta värdepapper och fastigheter samt bedriva verksamhet med egna och andras uppdrag avseende framställning av trycksaker såsom reklamblad, tidningar och skrifter samt med repotageuppdrag och framställning av fotografiska- och andra bilder till detta och därmed förenlig verksamhet.",1991-09-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556289-2066,Java Allservice AB,Java Allservice AB,43120,,43120; 46230,BORLÄNGE,78193,ALDERBÄCKEN 55,"Bolaget skall bedriva fastighetsskötsel såsom gräsklippning, fastighetsreparationer och därmed förenliga verksamheter. Samt importera hästar, köpa , sälja samt förädla.",1986-12-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556413-3014,L8 Bygg Åsa Aktiebolag,L8 Bygg Åsa Aktiebolag,41000,,41000,ÅSA,43955,LOTTAVÄGEN 11,"Bolaget skall bedriva hälso- och friskvårdsinstitut, handel med båtar och tillbehör, handel med plastprodukter, bygg och reparationer av privatbostäder och mindre kontor. Bolaget skall förvalta fast och lös egendom samt aktier och med de nu ovan alla angivna uppgifterna förenlig verksamhet.",1991-01-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556416-8895,Eskil Brantling Aktiebolag,Eskil Brantling Aktiebolag,49410,,49410,BRANTEVIK,27238,GISLÖVSVÄGEN 31,"Bolaget skall bedriva åkeriverksamhet, byggnadsverksamhet, fastighets- och kapitalförvaltning samt därmed förenlig verksamhet.",1991-01-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556437-9245,Vellinge snickeritjänst AB,Vellinge snickeritjänst AB,41000,,41000,LIMHAMN,20061,BOX 30014,"Föremålet för bolagets verksamhet är att bedriva konsult- verksamhet inom byggnadsbranschen, bedriva byggverksamhet, äga och förvalta fast egendom, bedriva personaluthyrning och därmed förenlig verksamhet.",1991-11-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556440-8903,Patricia Consult Aktiebolag,Patricia Consult Aktiebolag,71122,,71122,TÄBY,18330,Sandbrovägen 25,Bolaget skall bedriva konsulterande verksamhet inom teknik- och verksamhetsutveckling.,1992-01-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556441-1360,Ekbladh & Partners AB,Ekbladh & Partners AB,70200,,70200,VÄLLINGBY,16270,RYTTMÄSTARVÄGEN 109,"Bolaget arbetar med strategisk rådgivning, utbildning och managementtjänster utifrån en helhetssyn på långsiktigt hållbar verksamhetsutveckling i kombination med prevention inom psykosocial arbetsmiljö. Grundläggande är värdebegreppen: Eftertanke, Omtanke och Utveckling.  Bolaget ska även bedriva fastighetsförvaltning, äga onoterade små privata aktiebolag, äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.",1992-01-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556419-5542,Göran Samuelsson Bussuthyrning Aktiebolag,Göran Samuelsson Bussuthyrning Aktiebolag,49320,,49320,YDRE,57394,SJUNDEMÅLA,"Aktiebolaget skall bedriva uthyrning av fordon, konsultverksamhet inom social- och hälsovård och därmed förenlig verksamhet.",1991-03-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556420-4849,Landskap & Anläggning i Lindome Aktiebolag,Landskap & Anläggning i Lindome Aktiebolag,41000,,41000; 81300,LINDOME,43734,ESPÅS TORPVÄG 14,Bolaget skall driva försäljning av byggnadsentreprenad och trädgårdsanläggningar samt idka därmed förenlig verksamhet.,1991-03-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556443-4669,Randstad Sourceright AB,Randstad Sourceright AB,70200,,70200,SOLNA,16903,BOX 3037,"Föremålet för bolagets verksamhet ska vara att tillhandahålla förvaltande serviceprogram samt outsourcingverksamhet inom rekryteringsprocesser, innefattande HR-relaterade tjänster såsom organisering och samordning av kunders behov av personalrekrytering- och bemanning, administrering av leverantörer och kontraktering av kunder och leverantörer, och därmed förenlig verksamhet.",1992-03-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556421-4723,Fretech AB,Fretech AB,49410,,49410; 81230,BREDARYD,33374,"TOVHULT,HUMLEÅSEN 2","Bolaget ska bedriva handel med och uthyrning av entreprenad- och byggmaskiner, bedriva åkerirörelse samt därmed förenlig verksamhet.",1991-03-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556386-8073,Advokatfirman Annika Boström Aktiebolag,Advokatfirman Annika Boström Aktiebolag,69101,,69101,LUND,22354,SÖDRA ESPLANADEN 2,Bolaget verksamhet är uteslutande att under förutsättning av medgivande av Sveriges Advokatsamfunds styrelse driva advokatverksamhet.,1990-06-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556389-4624,KB Bolagen i Stockholm Aktiebolag,KB Bolagen i Stockholm Aktiebolag,70100,,70100,STOCKHOLM,11233,FLEMINGGATAN 77,"Bolaget skall bedriva handel med och uthyrning av bilar, båtar, flygplan, bostäder, fastigheter och verkstadsprodukter samt idka därmed förenlig verksamhet.",1990-04-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556414-4938,Evert Erlandsson Bygg Aktiebolag,Evert Erlandsson Bygg Aktiebolag,41000,,41000,ÄTRAN,31061,SJÖVIK,Bolaget ska bedriva byggnadsrörelse samt därmed förenlig verksamhet.,1990-12-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556395-8973,Rolf Sundin Schakt Aktiebolag,Rolf Sundin Schakt Aktiebolag,43120,,43120,SKOGHALL,66334,MELLQVISTVÄGEN 13,Bolaget skall bedriva schaktning och andra grundarbeten samt idka därmed förenlig verksamhet.,1990-05-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556399-3996,Strandskatan Aktiebolag,Strandskatan Aktiebolag,41000,,41000; 69201,RÅÅ,25270,KUSTGATAN 64 A 3TR,"Bolaget skall bedriva handel med värdepapper, äga och förvalta fast och lös egendom, uthyrningsverksamhet och leasing av lös egendom huvudsakligen maskinell utrustning avseende bygg och verkstadsindustrin, kontorsinventarier, personbilar och andra fordon, konsultverksamhet inom bygg- och fastighetsbranschen samt även bedriva byggverksamhet och därmed förenlig verksamhet.",1990-07-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556414-8814,Pavla Synergy Aktiebolag,Pavla Synergy Aktiebolag,70200,,70200,MALMÖ,21771,KÖPENHAMNSVÄGEN 42 C,"Bolaget skall bedriva konsultverksamhet inom internationell handel, företrädesvis för produkter och tjänster inom kemisktekniska-, utbildnings- och dataområdet, ävensom idka därmed förenlig verksamhet.",1990-12-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556405-8286,Laxå Centrumfastigheter Holding AB,Laxå Centrumfastigheter Holding AB,70100,,70100,LAXÅ,69530,CENTRUMTORGET 3,"Bolaget skall äga och förvalta fastigheter, äga och förvalta värdepapper samt därmed förenlig verksamhet.",1990-09-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556425-0545,Svenska Semiotik Aktiebolag,Svenska Semiotik Aktiebolag,69201,,69201; 68203; 62201,SIGTUNA,19333,LILLA BRÄNNBOVÄGEN 4 A,"Bolagets verksamhet är uthyrning av lägenhet, konsult inom IT och administration samt därmed förenlig verksamhet.",1991-05-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556415-3020,Beati Mites Advokatbyrå AB,Beati Mites Advokatbyrå AB,69101,,69101,INGARÖ,13462,ROSENMALMSVÄGEN 67,Bolaget bedriver advokatverksamhet.,1990-12-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556433-8654,Prognoscentret i Sverige AB,Prognoscentret i Sverige AB,70200,,70200,SOLNA,16971,FÄLTTELEGRAFPLATSEN 4,"Bolaget skall bearbeta marknadsdata för försäljning av marknadsundersökningar, marknadsanalyser, prognoser och medel för styrning samt bedriva konsultverksamhet i anslutning därtill, bolaget skall biträda vid andra bolags aktieköp och finansiering ävensom idka därmed förenlig verksamhet.",1991-09-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556390-8150,Takorama Elteknik AB,Takorama Elteknik AB,43412,,43412,ANGERED,42469,STORÅS INDUSTRIGATA 7,"Föremålet för bolagets verksamhet är att utföra takentreprenader, solcellsintallationer, elinstallationer och därmed förenlig verksamhet.",1990-04-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556243-2335,IDEMA Management Invest Aktiebolag,IDEMA Management Invest Aktiebolag,70200,,70200; 68310,BJÄRRED,23741,ANDERS MÖLLARES VÄG 16 A,"Bolaget skall a) bedriva internationell management- och konsultverksamhet inom 1) IT, telekommunikation och specifikt mobilatjänster, appar och connected devices. 2) affärs-, struktur-, design, produktutveckling- och supply chainrelaterade frågor med tillhörande strategier. b) bedriva försäljning av importerade produkter bl.a kläder, c) erbjuda s.k. events och seglingsupplevelser, d) driva förvaltning av dotterbolag och intressebolag och äga och förvalta aktier, andra värdepapper och fastigheter, samt därmed förenlig verksamhet.",1984-05-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556393-8348,Jan Björk Port & Byggmontage Aktiebolag,Jan Björk Port & Byggmontage Aktiebolag,41000,,41000,ENVIKEN,79026,KLOCKARNÄS 44,"Bolaget ska bedriva försäljning av varor och tjänster inom byggbranschen, bedriva jord- och skogsbruk, samt därmed förenlig verksamhet.",1990-05-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556401-3133,BEJOLI AB,BEJOLI AB,69201,,69201; 78201; 64994,BRUZAHOLM,57599,EKSJÖVÄGEN 27,"Aktiebolaget ska direkt eller indirekt genom hel- eller delägda dotterföretag bedriva tjänster inom transportbranschen, äga och förvalta fastigheter, bedriva konsultverksamhet med inriktning på redovisningsområdet, bedriva handel med värdepapper samt därmed förenlig verksamhet.",1990-07-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556401-7795,Erfator Projektledning AB,Erfator Projektledning AB,71121,,71121,STOCKHOLM,11825,SÖDER MÄLARSTRAND 77,Bolaget skall bedriva konsultverksamhet inom byggnadsbranschen.,1990-08-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556403-9781,MELAB i Uddevalla AB,MELAB i Uddevalla AB,49410,,49410,KODE,44297,VITSTEN 172,"Föremålet för bolagets verksamhet är åkeri, äga och förvalta fastigheter och därmed förenlig verksamhet",1990-08-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556257-6131,Stenberg & Son AB,Stenberg & Son AB,70200,,70200; 64994,STOCKHOLM,11444,JUNGFRUGATAN 56,Bolaget skall bedriva konsultverksamhet och investerings- verksamhet bestående av handel med värdepapper och fastigheter och därmed förenlig verksamhet.,1985-03-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556408-7673,Fröken Majas Aktiebolag,Fröken Majas Aktiebolag,69201,,69201; 70200,STORA MELLÖSA,71592,EKEBY 540,"Bolagets verksamhet omfattar tjänster inom administration, redovisning, organisation, fastighetsförvaltning, handel med värdepapper samt därmed förenlig verksamhet.",1990-11-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556408-9349,Nilssons Transport i Norrtälje Aktiebolag,Nilssons Transport i Norrtälje Aktiebolag,49410,,49410; 25510,NORRTÄLJE,76130,KVARNGRÄND 3,Bolaget skall bedriva åkerirörelse samt handel med bilar och bildelar och därmed förenlig verksamhet.,1990-12-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556266-0463,Johnson Matthey Aktiebolag,Johnson Matthey Aktiebolag,71122,,71122,VÄSTRA FRÖLUNDA,42131,VICTOR HASSELBLADS GATA 8,"Bolaget skall bedriva utveckling tillverkning och försäljning av katalysatorer för avgasrening, handel med ädla metaller, färger, dekalkomanier och kemiska ämnen samt produkter därav ävensom annan därmed förenlig verksamhet.",1985-10-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556266-0885,Bomhus Transport Aktiebolag,Bomhus Transport Aktiebolag,49410,,49410,GÄVLE,80429,BOMHUSVÄGEN 52,Bolaget skall bedriva transportverksamhet såsom åkeri och därmed förenlig verksamhet.,1985-10-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556413-7809,Å LJUNGBERG MANAGEMENT Aktiebolag,Å LJUNGBERG MANAGEMENT Aktiebolag,70200,,70200,UPPSALA,75433,RITARGATAN 8 C 8TR LGH 1702,"Föremålet för bolagets verksamhet är att bedriva företagsekonomisk verksamhet såsom bokföring, redovisning, bolagsbildning, konsultverksamhet inom områdena administration, inkasso, skatter, juridik, företagsledning, inköp och försäljning av elektroniska varor samt bedriva författarverksamhet. Därjämte skall bolaget bedriva handel och förvaltning av värdepapper samt därmed förenlig verksamhet.",1991-01-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556419-9783,Ulrika Sterner Consulting AB,Ulrika Sterner Consulting AB,69102,,69102; 70200,HALMSTAD,30227,GAMLETULLSGATAN 12,"Bolaget ska bedriva juridisk verksamhet, kompetensutveckling och coaching samt därmed förenlig verksamhet.",1991-02-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556455-0548,KITAB Grythyttan Aktiebolag,KITAB Grythyttan Aktiebolag,43411,,43411,VINTROSA,71991,NYBBLE 231,"Bolaget skall bedriva smide-, svetsarbete och service inom nämnda branscher.",1992-11-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556454-2495,CMW Entreprenad Aktiebolag,CMW Entreprenad Aktiebolag,43120,,43120,BOLLNÄS,82193,ERIKNÄSBO 4207,"Bolaget skall bedriva byggnads-, markentreprenad. Ljudinspelning, reparationer, tillverkning av inspelningsutrustning, ljud och musikinstrument.",1992-10-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556455-6453,Religare Aktiebolag,Religare Aktiebolag,70200,,70200,STOCKHOLM,11140,KAMMAKARGATAN 8 B,Bolaget skall bedriva konsultverksamhet inom managementområdet ävensom idka därmed förenlig verksamhet.,1992-10-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556423-3947,MT Konsult AB,MT Konsult AB,43320,,43320; 47811; 77110,UDDEVALLA,45155,BJÖRBÄCKSVÄGEN 4,Akiebolaget ska själv eller genom dotterbolag bedriva biluthyrning jämte köp och försäljning av nya och begagnade fordon. Vidare ska bolaget självt eller genom dotterbolag äga eller förvalta såväl fast som lös egendom ävensom bedriva därmed jäm- förlig verksamhet.,1991-03-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556426-1781,Advokatfirman Åberg & Co Aktiebolag,Advokatfirman Åberg & Co Aktiebolag,69101,,69101,STOCKHOLM,10325,BOX 16295,Föremålet för bolagets verksamhet är uteslutande att under förutsättning av medgivande av Sveriges advokatsamfuns styrelse driva advokatverksamhet.,1991-05-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556437-7215,Dahlberg & Co Aktiebolag,Dahlberg & Co Aktiebolag,70200,,70200,GÖTEBORG,41475,SVALEBOGATAN 38,Bolaget skall äga och förvalta lös och fast egendom samt bedriva konsultation inom internationell affärsutveckling och därmed förenlig verksamhet.,1991-11-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556405-0887,Bodala Rengöring & Sprutmåleri Aktiebolag,Bodala Rengöring & Sprutmåleri Aktiebolag,43341,,43341; 43310,ÄLMEBODA,36298,FABRIKSGATAN 15,"Bolaget skall utföra högtrycksrengöring och sprutmålning, bedriva försäljning av färg och tillbehör samt utföra klövvård ävensom idka därmed förenlig verksamhet.",1990-09-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
