domain,company_name,orgnr,email,phone,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
,Aktiebolaget Västerås Brobyggnader,556007-3115,,,,,,,,
,Sjur & Hansson Värme AB,556032-9442,,,,,,,,
,Aktiebolaget Setton,556033-7569,,,,,,,,
,Bygganalys VVS Aktiebolag,556030-6663,,,,,,,,
credentia.se,Credentia AB,,info@credentia.se,+46 176 28 20 00,https://credentia.se,static,no,,,
,Börje Heimer Revisionsbyrå Aktiebolag,556034-8897,,,,,,,,
,OK Marknadsservice Aktiebolag,556028-2856,,,,,,,,
,Aon Global Risk Consulting AB,556023-8080,,,,,,,,
,Kamerala Tjänster i Billdal Aktiebolag,556030-6960,,,,,,,,
,ASSA ABLOY Industrial Sverige AB,556004-9057,,,,,,,,
,Transtrands Handelsaktiebolag,556000-1348,,,,,,,,
,Milmer Bygg Sverige AB,556030-8537,,,,,,,,
,Industriaktiebolaget Ventilator,556048-2688,,,,,,,,
,Artium Aktiebolag,556040-6265,,,,,,,,
,Strömstad-Koster Företags- & Redovisningskonsultation Aktiebolag,556017-7700,,,,,,,,
support.ostberg.com,,,,,https://support.ostberg.com,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Tullbacken Aktiebolag,556031-8288,,,,,,,,
,Skanska International Civil Engineering AB,556032-3486,,,,,,,,
,Silver Rand Aktiebolag,556018-4656,,,,,,,,
,Aktiebolaget Iwa-Foto,556042-2049,,,,,,,,
,Aktiebolaget Borås Bilfrakt,556056-1036,,,,,,,,
brjror.se,,,,,https://brjror.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Sollentuna Ljus & Kraft Aktiebolag,556037-0503,,,,,,,,
,Cultural Information Europe AB,556032-9830,,,,,,,,
,Fastighets AB Josefina,556038-0528,,,,,,,,
,A.W. Anderssons Åkeriaktiebolag,556038-2474,,,,,,,,
,Asador Sweden AB,556038-6467,,,,,,,,
,Olle Sandbergs Revisionsbyrå Aktiebolag,556037-9843,,,,,,,,
,Aktiebolaget Äppelvikens Elektriska Byrå,556047-2309,,,,,,,,
,Höganäs Aktiebolag,556005-0121,,,,,,,,
,Vindile Holding AB,556052-0545,,,,,,,,
,Anders Gustafsson Golv & Bygg AB,556039-1335,,,,,,,,
,Bulten Fasteners AB,556010-8861,,,,,,,,
,Olof Gustafssons Byggnadsfirma Aktiebolag,556041-7742,,,,,,,,
,Åsa Frick AB,556041-7890,,,,,,,,
,Liljedahl Group AB,556048-9022,,,,,,,,
,Saléninvest AB,556051-6634,,,,,,,,
,AJMA Konsult Aktiebolag,556029-9066,,,,,,,,
,Energidalen i Sollefteå Aktiebolag,556046-8950,,,,,,,,
,F.O. Peterson & Söner Byggnadsaktiebolag,556011-3465,,,,,,,,
bakertillyuppsala.se,,,,,https://bakertillyuppsala.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Echinus AB,556044-6089,,,,,,,,
,Emil Månssons Revisionsbyrå Aktiebolag,556046-6012,,,,,,,,
arkitektgruppen.se,,,,,https://arkitektgruppen.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Aktiebolaget Bitraco,556046-5410,,,,,,,,
,Elis Hertz Aktiebolag,556045-4414,,,,,,,,
,Kapsch TrafficCom AB,556042-6289,,,,,,,,
,Aktiebolaget GP-Last,556039-4347,,,,,,,,
,Equinor Energy Sweden AB,556045-5957,,,,,,,,
,Aktiebolaget Truck- och Krantjänst,556046-4470,,,,,,,,
,Adamssongruppen Aktiebolag,556045-7243,,,,,,,,
winlofs.se,,,,,https://winlofs.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Hartvigsons Bygg Aktiebolag,556041-1588,,,,,,,,
,Fjjell AB,556008-9004,,,,,,,,
,DEKRA Industrial AB,556033-5977,,,,,,,,
,Aktiebolaget Uno Lind,556047-5120,,,,,,,,
,Revisionsbyrån Lars Claesson Aktiebolag,556050-3632,,,,,,,,
,Rundlöfs Agenturer och Ekonomiska konsultationer A B,556023-5615,,,,,,,,
,Galenona i Falun AB,556004-0528,,,,,,,,
,MartSoft Aktiebolag,556033-7882,,,,,,,,
,Tinctoria AB,556049-4683,,,,,,,,
,Alfa Laval Corporate AB,556007-7785,,,,,,,,
,Svenskt Kött i Sverige AB,556042-4995,,,,,,,,
,Aktiebolaget Jordförvaltning,556035-8961,,,,,,,,
,Hässelby Redovisningsbyrå Aktiebolag,556041-2560,,,,,,,,
,Industriens Skattebyrå Aktiebolag,556046-2888,,,,,,,,
,Brorsson & Co Revisionsbyrå AB,556000-3682,,,,,,,,
,Nrotert AB,556006-8792,,,,,,,,
,FS Holding i Falkenberg AB,556023-0780,,,,,,,,
,Elektriska Aktiebolaget Vesta,556052-6328,,,,,,,,
,Tidningstjänst Aktiebolag,556039-7480,,,,,,,,
,Bohlins Revisionsbyrå Aktiebolag,556046-1641,,,,,,,,
,Jubels Golv AB,556012-9628,,,,,,,,
,Petri Park Fastighets AB,556040-3395,,,,,,,,
,Aktiebolaget Entermark,556055-5004,,,,,,,,
,Becker Industrial Coatings Holding AB,556037-2392,,,,,,,,
,G.A. Johanssons Rörinstallations Aktiebolag,556041-6546,,,,,,,,
,Fridas Bod AB,556041-3295,,,,,,,,
transdev.se,,,,,https://transdev.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Ekonomihuset i Bromma Aktiebolag,556057-6208,,,,,,,,
,Hörby ortens Åkeriaktiebolag,556058-1620,,,,,,,,
,Aktiebolaget Malfors Promotor,556049-6928,,,,,,,,
,Setra Group AB,556034-8483,,,,,,,,
,HEMA Projektledning Aktiebolag,556027-8060,,,,,,,,
,Aktiebolaget Hoppet,556017-3113,,,,,,,,
,Aktiebolaget J. Kristenssons Eftr.,556032-2629,,,,,,,,
,Severin Invest AB,556044-5495,,,,,,,,
,Orresta Förvaltning AB,556025-4731,,,,,,,,
,Aktiebolaget Svensk Byggtjänst,556033-9938,,,,,,,,
,Munters Aktiebolag,556041-0606,,,,,,,,
,Gamla Uppsala Buss Aktiebolag,556036-0959,,,,,,,,
,SSF Service AB,556024-9236,,,,,,,,
,A. Bildmark & Son Aktiebolag,556036-3920,,,,,,,,
,Perstorp Aktiebolag,556024-6513,,,,,,,,
,Castellum Väst Fastighets AB,556039-2952,,,,,,,,
berglof-kylteknologi.se,,,,,https://berglof-kylteknologi.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Aktiebolaget Brännkyrka Grävmaskiner,556042-5901,,,,,,,,
,Aktiebolaget Brobilen,556025-9771,,,,,,,,
,S:t Erik Fastighets AB,556045-0206,,,,,,,,
,Aktiebolaget Oljeprodukter,556036-8994,,,,,,,,
,Skellefteå buss AB,556041-2370,,,,,,,,
,Redaco Revision & Ekonomikonsult AB,556029-9082,,,,,,,,
,Värsjöfors Aktiebolag,556049-8114,,,,,,,,
,Öhrn i Fristad AB,556045-3127,,,,,,,,
,Roos Ekonomi Aktiebolag,556042-7642,,,,,,,,
,Hallsbergs Buss Aktiebolag,556058-9318,,,,,,,,
,Kraftprojektering i Falun AB,556010-5578,,,,,,,,
,Fr. Ramström Aktiebolag,556021-5070,,,,,,,,
,Stig Hedlund Fastighetsförvaltning AB,556051-3300,,,,,,,,
,Anossa Aktiebolag,556044-5438,,,,,,,,
,Obege Förvaltning AB,556015-2547,,,,,,,,
,Loep AB,556040-1555,,,,,,,,
,Hedlunds Trävaru Aktiebolag,556032-9277,,,,,,,,
,Stella Förvaltningsaktiebolag,556041-6140,,,,,,,,
,Entreprenad Aktiebolaget Stele,556031-6217,,,,,,,,
berglundsglas.nu,,,,,https://berglundsglas.nu,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Proventus Aktiebolag,556042-3443,,,,,,,,
,Arkitektstudion Björn Sahlqvist Aktiebolag,556159-6072,,,,,,,,
,Isac Brandberg Aktiebolag,556152-9420,,,,,,,,
,Yoo Performance AB,556157-4665,,,,,,,,
,Folkes Grävmaskiner Aktiebolag,556166-7204,,,,,,,,
,Erik Sjögren Byggnads AB,556157-5092,,,,,,,,
arvidsror.se,,,,,https://arvidsror.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Börje Säll Plåtslageri och Taksmide Aktiebolag,556153-0071,,,,,,,,
,Basilica Revision AB,556159-8904,,,,,,,,
grastorpsror.se,,,,,https://grastorpsror.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,BORDEX AB,556163-5060,,,,,,,,
,"Concrete Cracktech, CCT, Aktiebolag",556078-4521,,,,,,,,
,JW Plåtslageri AB,556078-5460,,,,,,,,
,Uddetorp Holding AB,556097-1185,,,,,,,,
,Perssons Revisionsbyrå i Halmstad Aktiebolag,556118-7468,,,,,,,,
,Bodafors Plåt Aktiebolag,556100-8847,,,,,,,,
,Kållandsö Åkeri Aktiebolag,556141-9473,,,,,,,,
,Johanssons Åkeri i Öjebyn AB,556142-2493,,,,,,,,
,John-Ivar Olsson Aktiebolag,556122-5599,,,,,,,,
,Gemmatus Aktiebolag,556169-3606,,,,,,,,
,Bengt Göran Gustavsson Entreprenad Aktiebolag,556173-0846,,,,,,,,
,Brasilien Golf & Village Aktiebolag,556174-5687,,,,,,,,
,Romares Åkeriaktiebolag,556200-8895,,,,,,,,
,Edvardssons Rör Aktiebolag,556175-8318,,,,,,,,
lundsnyableckoplat.com,,,,,https://lundsnyableckoplat.com,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,FRT Konsult AB,556123-5002,,,,,,,,
,Brocap Aktiebolag,556162-7422,,,,,,,,
borga.se,Borga Plåt AB,556185-7037,kontakt@borga.se,+46 90 202 39 02; +46 511 79 18 22; +46 511 34 77 11,https://borga.se,static,no,checkout_provider; product_cards; provider:woocommerce,static@https://borga.se:providers(woocommerce) | static@https://borga.se:productCards(12),
,Herbert Ulfhielm Fjärrtransport i Skellefteå Aktiebolag,556179-8942,,,,,,,,
,AB Probo i Stockholm,556138-2101,,,,,,,,
,Göran Udd Aktiebolag,556169-8571,,,,,,,,
,Birger Mossbergs Åkeri Aktiebolag,556174-1702,,,,,,,,
,Sydat Automation Aktiebolag,556147-2027,,,,,,,,
,L Flysjö Konsult AB,556135-9471,,,,,,,,
,Magnus Schakt Aktiebolag,556179-2317,,,,,,,,
,Lars Petersson VVS-byrå Aktiebolag,556156-6257,,,,,,,,
,ESSBE Ekonomitjänst AB,556149-6182,,,,,,,,
,Rörfirma Folke Carlson Aktiebolag,556160-7267,,,,,,,,
,Wikmans VVS AB,556169-6823,,,,,,,,
,Cargobil Miljö & Transport Aktiebolag,556172-9996,,,,,,,,
,ÖBERGS REV & RENT AB,556172-7073,,,,,,,,
,L.W. Ljungström Aktiebolag,556175-3293,,,,,,,,
,Ekmans Montage & Fastighetstjänst AB,556161-6458,,,,,,,,
,Byggnadsfirma N.E. Persson i Kristianstad Aktiebolag,556161-7589,,,,,,,,
,Bengt-Göran Fast Aktiebolag,556155-7108,,,,,,,,
,Allergifix Förvaltning AB,556101-0231,,,,,,,,
,Aktiebolaget J. Liboms Konstruktionsbyrå,556101-1163,,,,,,,,
,Aktiebolag Common,556128-6492,,,,,,,,
augustssonakeri.se,Br Augustssons �keri AB,,,,https://augustssonakeri.se,static,no,,,
,Redovisningsbyrån Skandia Aktiebolag,556098-9724,,,,,,,,
,Business Development i Stockholm Aktiebolag,556153-8264,,,,,,,,
,Mårten Åkare i Roma Aktiebolag,556184-9752,,,,,,,,
,Sven Karlsson Förvaltnings Aktiebolag,556187-0907,,,,,,,,
,Byggelektra JA AB,556120-0873,,,,,,,,
,Peab Grundläggning Aktiebolag,556154-7364,,,,,,,,
,Leif Dagsbergs Åkeri Aktiebolag,556176-5354,,,,,,,,
,Norbergs Glasmästeri Aktiebolag,556162-8651,,,,,,,,
,Tranemo-Limmared Måleri Aktiebolag,556203-3703,,,,,,,,
,Bastupunkten RBH AB,556198-5028,,,,,,,,
,MB Isolering Aktiebolag,556193-8993,,,,,,,,
unisport.com,,,,,https://unisport.com,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Broswerk AB,556161-9833,,,,,,,,
,Hjorts Åkeri Aktiebolag,556125-8988,,,,,,,,
,QAM Vård & Omsorg AB,556130-1952,,,,,,,,
,JMYR AB,556167-6825,,,,,,,,
,Sätergårdens Golv och Kakel AB,556145-5717,,,,,,,,
wikstromsbygg.se,,,,,https://wikstromsbygg.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Aros Fjärrgods AB,556136-0347,,,,,,,,
,Multiplicato AB,556159-7070,,,,,,,,
,B.H.S. Byggherresystem Aktiebolag,556151-4950,,,,,,,,
,Aktiebolaget Biostabilisator,556173-2651,,,,,,,,
,Bengt Nilssons Gräv Aktiebolag,556169-7474,,,,,,,,
,Mullhyttans Plåt Aktiebolag,556170-5954,,,,,,,,
,Bergab-Berggeologiska Undersökningar Aktiebolag,556173-2396,,,,,,,,
awa.com,,,,,https://awa.com,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Nilssons Rör och Sanitet AB Mora - Orsa,556123-1472,,,,,,,,
,Byggnadsfirman Manfredsson & Johansson Aktiebolag,556087-8364,,,,,,,,
,K Allan Samuelssons Byggnads Aktiebolag,556117-0266,,,,,,,,
edekyl.se,,,,,https://edekyl.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Carina Vibenius AB,556186-3753,,,,,,,,
,S:t Eriks Hiss Aktiebolag,556167-4481,,,,,,,,
,Dalmyrens Åkeri Aktiebolag,556155-2232,,,,,,,,
,Björks Lyft & Transport AB,556155-3982,,,,,,,,
,HO Johansson Förvaltnings AB,556180-8949,,,,,,,,
,Gunnar Ström & Co Åkeriaktiebolag,556186-6210,,,,,,,,
sundstromsentreprenad.se,Sundström Entreprenad AB,,info@sundstromsentreprenad.se,,https://sundstromsentreprenad.se,static,no,product_cards,static@https://sundstromsentreprenad.se:productCards(5),
frolundabetonggolv.se,,,,,https://frolundabetonggolv.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
johnsons-el.se,,,,,https://johnsons-el.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,K. Simonson Revisionsbyrå Aktiebolag,556174-7550,,,,,,,,
,Erikssons Bygg & Maskinuthyrnings Aktiebolag,556179-9445,,,,,,,,
,Fastighetsfirman Pettersson & Son AB,556186-6061,,,,,,,,
,Byggakustik i Karlstad AB,556193-8563,,,,,,,,
,Sahara Consulting AB,556208-1454,,,,,,,,
,Marginalen AB,556128-4349,,,,,,,,
,J.L. Byggtjänst i Eksjö Aktiebolag,556152-2573,,,,,,,,
,Reseaxet i Vetlanda Aktiebolag,556127-8192,,,,,,,,
,Aktiebolaget Sollefteå Sprängtjänst,556154-8305,,,,,,,,
,Tingsryd Åkeri Aktiebolag,556132-7692,,,,,,,,
,Tornparken Bygg & Projektledning AB,556154-3389,,,,,,,,
,Fellingsbro Åkeri Aktiebolag,556142-5355,,,,,,,,
,Elmada AB,556153-4917,,,,,,,,
,Hillerstorps Ekonomi & Trading AB,556181-0283,,,,,,,,
,Jan-Olov Wernerssons Åkeri Aktiebolag,556160-9990,,,,,,,,
,Markaryds Takläggnings Aktiebolag,556162-4015,,,,,,,,
,Westeds Byggnads AB,556161-5898,,,,,,,,
,Forshaga Svets och Smide Förvaltning och Utveckling Aktiebolag,556165-4079,,,,,,,,
,Einar Larssons Åkeri Aktiebolag,556149-0383,,,,,,,,
,StarStat AB,556158-6719,,,,,,,,
,K.Lindberg Konsult i Söderhamn AB,556174-8541,,,,,,,,
,Bygg&MåleriProjekt i Karlstad AB,556162-3132,,,,,,,,
,Sture Wallins Byggnadsplåtslageri Aktiebolag,556178-7663,,,,,,,,
,Elcentralen Alm & Nilsson Aktiebolag,556180-4591,,,,,,,,
,Bamboo Group Sweden AB,556089-8958,,,,,,,,
,Hudik-Flytt Aktiebolag,556094-6617,,,,,,,,
,Wiklunds Åkeri Aktiebolag,556073-3742,,,,,,,,
,Trossö Elinstallationer Aktiebolag,556129-5642,,,,,,,,
,Byggnads AB Abacus,556112-9528,,,,,,,,
,Simeon Sverige AB,556087-9099,,,,,,,,
,Företagsutveckling & Ekonomistyrning i Kungälv AB,556143-1239,,,,,,,,
,Årbylund Fastighet AB,556123-3841,,,,,,,,
,Frödinge Tanktransport Aktiebolag,556099-5721,,,,,,,,
,Idé-Teknik Aktiebolag,556165-1463,,,,,,,,
hhkonsult.se,,,,,https://hhkonsult.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Gunnar Johnssons Åkeri Aktiebolag,556184-0546,,,,,,,,
,Korpilombolo Träfrakt Aktiebolag,556192-3896,,,,,,,,
,Kå-Ges Schakt & Dumper Aktiebolag,556182-2908,,,,,,,,
,Linneisandviken AB,556201-8365,,,,,,,,
,"Affärskonsult, Anders Lindeberg Aktiebolag",556183-0620,,,,,,,,
,H.N. Företagsrevision Aktiebolag,556193-1634,,,,,,,,
,Charles Bergling & Co Aktiebolag,556191-3731,,,,,,,,
,Töxfrakt Aktiebolag,556193-5981,,,,,,,,
,Gewerts El AB,556132-0366,,,,,,,,
,Forshaga Måleri Aktiebolag,556135-8770,,,,,,,,
,Eltjänst i Eksjö Aktiebolag,556137-5212,,,,,,,,
vasterasbyggplatab.se,,,,,https://vasterasbyggplatab.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Hisingens Kylservice Aktiebolag,556135-1965,,,,,,,,
,"Internordic, P.R.B. Aktiebolag",556161-9544,,,,,,,,
,Bogrens i Höganäs AB,556158-4748,,,,,,,,
,Poolservice By Enlund AB,556154-2076,,,,,,,,
,Gladö Förvaltning AB,556143-8093,,,,,,,,
alperplat.se,,,,,https://alperplat.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Bengtsfors Transport BTKGAB Aktiebolag,556176-5925,,,,,,,,
braherevision.se,,,,,https://braherevision.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Gimbur AB,556179-6060,,,,,,,,
,Överskottsförsäljningen i Tygelsjö Aktiebolag,556180-6539,,,,,,,,
,Östkustutsikten Aktiebolag,556118-2139,,,,,,,,
,Per Carlssons Åkeri Aktiebolag,556118-2923,,,,,,,,
,Malcolm Wiberg AB,556148-8676,,,,,,,,
,Caleo AB,556154-6770,,,,,,,,
kurtgoranselektriska.se,,,,,https://kurtgoranselektriska.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Ingenjörsfirma J. Sterling Aktiebolag,556160-8331,,,,,,,,
,Conny Jacobssons Åkeri AB,556143-5016,,,,,,,,
,RevisorsHuset i Landskrona AB,556172-2850,,,,,,,,
,Karin Unghanse Företagskonsult Aktiebolag,556175-2378,,,,,,,,
,Experience Konsult- och Förvaltnings Aktiebolag,556152-5832,,,,,,,,
