orgnr,target_url,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug,county,municipality,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,webshop_platform,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons
556008-6661,http://www.abwe.se,ABW Equipment AB,ABW Equipment AB,46649,,46649,KISTA,16440,HAUKADALSGATAN 10,"Bolaget skall marknadsföra maskiner och utrustning för handel, industri och storkök samt att utföra installation och efterförsäljning samt därmed förenlig verksamhet.",1909-01-14,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/abw-equipment-ab-berkel/kista/jnpsxfjp | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,info@abwe.se,,abwe.se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556004-7903,http://www.unitednordic.com/,Dagab Inköp & Logistik AB,Dagab Inköp & Logistik AB,46390,,46390; 46310; 46321; 46220; 46360,STOCKHOLM,10769,Dagab Inköp & Logistik AB,"Bolaget har till föremål för sin verksamhet att direkt och indirekt bedriva handel med dagligvaror, bistå med utveckling av affärsverksamhet, in- och uthyrning av butikslokaler, driva partihandel inom dagligvarubranschen, partihandel med läkemedel, äga och förvalta aktier och fastigheter ävensom bedriva annan därmed förenlig verksamhet.",1902-08-04,active,,,,hitta_name,high,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_detail | hitta_name:https://www.hitta.se/united-nordic-inc-ab/stockholm/mgqbzlru | hitta_name:orgnr_match | hitta_name:url_in_own_segment | hitta_name:email_in_segment | hitta_name:phone_in_segment,unitednordic@axfood.se,+46855399000,unitednordic.com,https://unitednordic.com,static,no,product_cards,static@https://unitednordic.com:productCards(3),,,,,,,,,,,,,,,,,,,,,no,,5,has_identity
556011-6120,http://www.fructus.se/,Fructus Data AB,Fructus Data Aktiebolag,46501,,46501,SKÄRHOLMEN,12739,STORSÄTRAGRÄND 5,"Bolaget skall bedriva utveckling, tillverkning och försäljning av datorer, datorstyrda maskiner och programvara samt därmed förenlig verksamhet.",1913-08-11,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/fructus+data+ab/sk%C3%A4rholmen/hanpuffcm | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info@fructus.se,+46 8 594 116 30,fructus.se,https://fructus.se,static,no,product_cards,static@https://fructus.se:productCards(4),,,,,,,,,,,,,,,,,,,,,,,,
556047-8868,https://www.svenskahem.se/butiker/svenska-hem-goteborg/,Paulsons Möbler i Hässleholm AB,Bratells Möbler i Göteborg AB,47551,,47551,GÖTEBORG,41659,DANSKA VÄGEN 96,Bolaget ska bedriva detaljhandel med heminredning och möbler samt därmed förenlig verksamhet.,2008-11-13,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/bratells+svenska+hem+danska+v%C3%A4gen/g%C3%B6teborg/ffioquemn | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info.hassleholm@svenskahem.se,+46451745410,svenskahem.se,https://www.svenskahem.se/om-oss,browser,yes,checkout_provider; cart; product_cards; priced_cards; provider:klarna,main@https://www.svenskahem.se/:hasCart(uiPhrase) | main@https://www.svenskahem.se/:pricedCards(multiPrices) | main@https://www.svenskahem.se/:providers(klarna) | main@https://www.svenskahem.se/:productCards(4) | DECISION@main@https://www.svenskahem.se/ | contact_like@https://www.svenskahem.se/kundservice:hasCart(uiPhrase) | contact_like@https://www.svenskahem.se/kundservice:providers(klarna) | DECISION@contact_like@https://www.svenskahem.se/kundservice | contact_like@https://www.svenskahem.se/om-oss:hasCart(uiPhrase) | contact_like@https://www.svenskahem.se/om-oss:providers(klarna) | DECISION@contact_like@https://www.svenskahem.se/om-oss,,,,,,,,,,,,,,,,,,,,,,,,
556012-3456,http://www.findus.se,Företagsregistrering Findus Sverige AB,Findus Sverige Aktiebolag,46390,,46390; 10710; 10612; 10722,MALMÖ,21119,NORDENSKIÖLDSGATAN 8,"Bolaget ska tillverka och försälja livsmedel och därtill hörande ingredienser samt att bedriva annan verksamhet i anslutning härtill, innefattande även rätt för bolaget att äga och förvalta aktier i andra bolag och därmed förenlig verksamhet.",1905-12-27,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/findus-sverige-ab/malm%C3%B6/lgsxdehj | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,findus.se,https://findus.se,static,no,product_cards,static@https://findus.se:productCards(9),,,,,,,,,,,,,,,,,,,,,,,,
556012-5220,https://www.beijerbygg.se/foretag/sv/valkommen-till-beijer-byggmaterial,Beijer Byggmaterial,Beijer Byggmaterial Aktiebolag,46831,,46831; 47521; 52100; 47522; 46832,SOLLENTUNA,19127,BOX 798,"Bolaget skall direkt eller genom dotterbolag bedriva handel, fabrikation, agentur- samt entreprenadverksamhet inom byggnads- materialbranschen, utveckla tekniska uppslag och nyheter inom denna bransch, att äga och förvalta fast och lös egendom samt bedriva annan därmed förenlig verksamhet.",1915-04-06,active,,,,hitta_name,high,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_detail | hitta_name:https://www.hitta.se/beijer-byggmaterial-ab-bandhagen/bandhagen/mnggpxdf | hitta_name:orgnr_match | hitta_name:url_in_own_segment,,,beijerbygg.se,https://beijerbygg.se,static,yes,cart; checkout; product_cards; priced_cards,static@https://beijerbygg.se:hasCheckout(uiPhrase) | static@https://beijerbygg.se:hasCart(uiPhrase) | static@https://beijerbygg.se:pricedCards(multiPrices) | static@https://beijerbygg.se:productCards(200) | DECISION@static@https://beijerbygg.se,,,,,,,,,,932,5,43,148,0,100,80,82,653,0,25,no,,56,"is_webshop, catalog_50plus, seo_gap_low, duplicate_titles, no_product_schema, has_orgnr"
556015-1895,http://www.happyhomes.se/gavle/,Målarnes Färg Aktiebolag,Happy Homes Gävle AB,47523,,47523,GÄVLE,80301,LÖTÄNGSGATAN 2,Bolaget skall idka färghandelsrörelse och därmed förenlig verksamhet.,1931-06-05,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/happy+homes+g%C3%A4vle+ab/g%C3%A4vle/jmossxjp | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info.jonkoping@happyhomes.se,+4636710501,happyhomes.se,https://happyhomes.se,browser,no,,,Attempted to use detached Frame 'A337CAE8871EACD0C977B918612868EF'. | method:browser,,,,,,,,,,,,,,,,,,,,,,,
556008-5440,http://www.disperator.se/,Disperator Producerad av Decision by Heart Cookies Integritetspolicy,Disperator AB,46649,,46649; 64994; 71122,SEGELTORP,14171,MÄLARVÄGEN 9,"Bolaget skall bedriva utveckling, tillverkning och försäljning av avfallskvarnar och annan utrustning inom området för avfalls- hantering samt konsultverksamhet inom samma område, äga och förvalta värdepapper samt idka därmed förenlig verksamhet.",1908-11-19,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/disperator+ab/segeltorp/fmrzzkgpq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info@disperator.se; service@disperator.se,+46 8 724 01 60; +46 70 329 03 29,disperator.se,https://disperator.se/kontakta-disperator/,browser,no,product_cards; sampled_3,main@https://disperator.se/:productCards(45) | main@https://disperator.se/:samplingRan(sampled=3) | sampleURL@https://disperator.se/produkter/avfallskvarn-500a-bs-k-excellent-serien/:status=200 | sampleURL@https://disperator.se/produkter/avfallskvarn-500a-mc-excellent-serien/:status=200 | sampleURL@https://disperator.se/produkter/avfallskvarn-500a-bas-excellent-serien/:status=200,,,,,,,,,,,,,,,,,,,,,,,,
556012-4769,http://www.wilo.se,WILO Nordic AB,WILO Nordic AB,46649,,46649,VÄXJÖ,35033,BOX 3024,Bolaget skall bedriva försäljning och montering av pumpsystem på den nordiska marknaden och idka därmed förenlig verksamhet.,1915-02-22,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/wilo-nordic-ab/malm%C3%B6/lrssxdlrs | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,wilo.se@wilo.com; service.se@wilo.com,+46 243 50 33; +46 470 72 76 00,wilo.se,https://wilo.com/se/sv/Service/Service/Service%C3%A4renden/,browser,no,checkout; product_cards; sampled_1; sample_addtocart_1,main@https://wilo.com/se/sv/:hasCheckout(urlPath:/order) | main@https://wilo.com/se/sv/:productCards(6) | main@https://wilo.com/se/sv/:samplingRan(sampled=1) | sampleURL@https://wilo.se/se/sv/Pumpar-och-pumpsystem/sv/product-compare:status=200:ATC | contact_like@https://wilo.com/se/sv/Service/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Service/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Verktyg/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Wilo-Utbytesv%C3%A4ska/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Kataloger-prislista-och-broschyrer/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Byggvarudeklarationer/iBVD/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Nyheter/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Utbildningar/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Om-Wilo/Kontakt/:hasCheckout(urlPath:/order) | contact_like@https://wilo.com/se/sv/Service/Service/Service%C3%A4renden/:hasCheckout(urlPath:/order),,,,,,,,,,,,,,,,,,,,,,,,
556032-8220,http://mobelkop.se,"Möbel-Köp, Gottfrid Fransson Aktiebolag","Möbel-Köp, Gottfrid Fransson Aktiebolag",47551,,47551,TIDAHOLM,52232,RAMSTORPSVÄGEN 2,"Bolaget skall bedriva handel med möbler, äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.",1934-01-31,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/m%C3%B6bel+k%C3%B6p+gottfrid+fransson+ab/tidaholm/mtuvhcmqr | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,info@mobelkop.se,+4650271481,mobelkop.se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556008-7453,https://finnvedensbil.se/kontakt/finnvedens-bil-varberg,Finnvedens Bil AB,Finnvedens Bil AB,47811,,47811; 95311; 95312; 47820,VÄRNAMO,33122,BOX 244,"Bolaget skall bedriva handel med motorfordon, finansiell verksamhet i form av uthyrning av motorfordon samt därmed förenlig verksamhet.",1909-02-15,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/finnvedens-bil-ab/varberg/kmtfmgbbx | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info@finnvedensbil.se; stefan.axborn@finnvedensbil.se; jocke.bengtsson@finnvedensbil.se,+46 370 425 00; +46 550 316 00; +46 340 50 40 00,finnvedensbil.se,https://finnvedensbil.se/boka-tjanst/service/polestar,browser,yes,product_cards; priced_cards; checkout,main@https://finnvedensbil.se/:pricedCards(multiPrices) | main@https://finnvedensbil.se/:productCards(35) | DECISION@main@https://finnvedensbil.se/ | contact_like@https://finnvedensbil.se/om-oss/integritetspolicy:hasCheckout(uiPhrase) | contact_like@https://finnvedensbil.se/om-oss/integritetspolicy:productCards(3) | contact_like@https://finnvedensbil.se/om-oss/integritetspolicy:samplingRan(sampled=0) | contact_like@https://finnvedensbil.se/boka-tjanst/service:productCards(14) | contact_like@https://finnvedensbil.se/boka-tjanst/service/volvo:pricedCards(multiPrices) | contact_like@https://finnvedensbil.se/boka-tjanst/service/volvo:productCards(38) | DECISION@contact_like@https://finnvedensbil.se/boka-tjanst/service/volvo | contact_like@https://finnvedensbil.se/boka-tjanst/service/renault-dacia:pricedCards(multiPrices) | contact_like@https://finnvedensbil.se/boka-tjanst/service/renault-dacia:productCards(18) | DECISION@contact_like@https://finnvedensbil.se/boka-tjanst/service/renault-dacia | contact_like@https://finnvedensbil.se/boka-tjanst/service/service-ovriga-marken-kristinehamn:productCards(5) | contact_like@https://finnvedensbil.se/boka-tjanst/service/fiat:productCards(10) | contact_like@https://finnvedensbil.se/boka-tjanst/service/maxus:productCards(39) | contact_like@https://finnvedensbil.se/boka-tjanst/service/peugeot:productCards(18) | contact_like@https://finnvedensbil.se/boka-tjanst/service/lynk-co:productCards(35) | contact_like@https://finnvedensbil.se/boka-tjanst/service/polestar:productCards(19),,,,,,,,,,,,,,,,,,,,,,,,
556025-5266,http://www.michelin.se/,Michelin Nordic AB,Michelin Nordic AB,46720,,46720,STOCKHOLM,10074,BOX 47175,"Bolaget ska bedriva tillverknings-, handels- och service- verksamhet inom däckbranschen i de nordiska länderna och marknadsföring och försäljning av vägkartor och vägguider och andra liknande trycksaker samt bedriva annan därmed förenlig verksamhet. Bolaget kan även ta upp och lämna lån till tredje man innefattande koncernbolag.",1927-01-12,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/michelin-nordic-ab/kung%C3%A4lv/lpbhaaaak | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:phone_in_segment,,+46303248600,michelin.se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556024-8527,https://brobyfarghall.se,Broby Färghall,Aktiebolaget Sunne Färghall,47523,,47523,SUNNE,68630,BRYGGARGATAN 3,"Bolaget ska bedriva färghandel ävensom idka därmed förenlig verksamhet. Härutöver ska bolaget äga och förvalta fast egendom, idka handel med värdepappr och därmed förenlig verksamhet.",1926-04-26,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/broby+f%C3%A4rghall/sunne/krsbzehij | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,brobyfarghall@gmail.com,+46 70 573 74 33; +46 76 820 46 15,brobyfarghall.se,https://brobyfarghall.se,browser,no,,main@https://brobyfarghall.se/:samplingRan(sampled=0),,,,,,,,,,,,,,,,,,,,,,,,
556047-9460,https://www.axalta.com/se/sv_SE/about-axalta.html,Axalta Coating Systems Sweden AB,Axalta Coating Systems Sweden AB,46850,,46850; 46860,VÄSTRA FRÖLUNDA,42123,BOX 263,Bolagets verksamhet skall vara att idka handels- och fabriks- rörelse inom kemisktekniska branschen ävensom idka annan därmed förenlig verksamhet.,1946-07-29,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/axalta-coating-systems-sweden-ab/v%C3%A4stra%20fr%C3%B6lunda/fmuvbigo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,info-se@axalta.com,,axalta.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556023-8486,https://www.fristads.com/sv-se/,Fristads AB,Fristads AB,46420,,46420,BORÅS,50464,PROGNOSGATAN 24,"Föremålet för bolagets verksamhet är att direkt eller indirekt, - idka textil- och konfektionsrörelse, företrädesvis avseende profil-, skydds- och arbetskläder, att tillverka och försälja verktygsbälten, verktygsväskor, säkerhetslinor och andra skyddsprodukter, att äga och förvalta fast och lös egendom samt att driva annan därmed förenlig verksamhet.",1925-04-06,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/fristads-ab/bor%C3%A5s/moppptxzd | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,info@fristads.com,+4633202200,fristads.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556033-4111,http://www.svenssonsbeslag.se,Svenssons i Tenhult Aktiebolag,Svenssons i Tenhult Aktiebolag,46841,,46841,TENHULT,56163,MJÄLARYDSVÄGEN 31,"Bolaget skall bedriva handel med byggnadsvaror, äga och förvalta fastigheter, aktier och andra värdepapper och därmed förenlig verksamhet.",1934-09-10,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/svenssons-i-tenhult-ab/tenhult/jnobhhmp | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,info@svenssonsitenhult.se,+4636390640,svenssonsbeslag.se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
