orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556359-0487,Scaneuro Catering Consulting Aktiebolag,Scaneuro Catering Consulting Aktiebolag,70200,,70200,GÖTEBORG,41270,Olaus Petrigatan 34,"Föremålet för bolagets verksamhet är konsultverksamhet inom verksamhetsutveckling, organisation, försäljning och servicemarknad inom catering-, byggnation, VVS-, fordons- och båtbranschen. Handel med förnödenheter i anslutning härtill, innehav, äga och förvaltning av värdpeppaer, fast och lös egendom och därmed förenlig verksamhet.",1989-04-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556359-9835,BJ Trafik AB,BJ Trafik AB,49320,,49320; 43120; 77320,HEDEKAS,45595,GUNNARSBO 26,"Bolaget skall bedriva buss- och taxitrafik, godstransporter, uthyrning av maskiner samt utföra markarbeten med grävmaskin och därmed förenlig verksamhet.",1989-05-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556360-9279,Markströms Redovisningskonsulter Aktiebolag,Markströms Redovisningskonsulter Aktiebolag,69201,,69201,TIMRÅ,86191,RENFANEVÄGEN 7,"Bolaget skall bedriva redovisnings- och konsultverksamhet inom ekonomiområdet samt handel med värdepapper, ävensom idka därmed förenlig verksamhet.",1989-05-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556387-9955,Allgon AB,Allgon AB,70100,,70100,VÄSTRA FRÖLUNDA,42132,AUGUST BARKS GATA 30 A,"Bolaget ska själv och genom hel- och delägda bolag bedriva utveckling, tillverkning och försäljning av elektronisk och mekanisk utrustning inom industriell kommunikation och därmed förenlig verksamhet.",1990-03-07,active,,,https://allgon.se/,,hitta_orgnr,high,info@allgon.com,+4631207600,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/allgon+ab/v%C3%A4stra+fr%C3%B6lunda/nuviilsz | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,allgon.se,,,,,,
556362-8758,Gotlandsfastigheter G. Gustafsson Aktiebolag,Gotlandsfastigheter G. Gustafsson Aktiebolag,71129,,71129; 85400; 64994,KATTHAMMARSVIK,62368,ÖSTERGARN HERRVIK 485,"Bolaget skall bedriva rörelse med mäkleriverksamhet, värderingar och rådgivning inom fastighetsbranschen. Bolaget ska också bedriva verksamhet med konsultationer i anslutning därtill. Dessutom skall bolaget äga och förvalta fast och lös egendom, samt bedriva finansieringsverksamhet, dock ej sådan verksamhet som avses i lag om bankrörelse och i lag om kreditaktiebolag.",1989-08-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556391-0727,Forsbergs Glasmästeri Nisse Skepparn Johansson Aktiebolag,Forsbergs Glasmästeri Nisse Skepparn Johansson Aktiebolag,43342,,43342,OFFERDAL,83597,DALSTIGEN 3,"Bolaget skall bedriva glasmästeri, äga och förvalta aktier samt därmed förenlig verksamhet.",1990-04-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556386-7257,Piteå Värme och Sanitet (PVS) Aktiebolag,Piteå Värme och Sanitet (PVS) Aktiebolag,43221,,43221,PITEÅ,94123,BOX 122,"Föremålet för bolagets verksamhet är att utföra värme-, vatten-, och sanitetsentreprenader samt därmed förenlig verksamhet.",1990-03-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556363-9144,E. Levenskog Redovisning AB,E. Levenskog Redovisning AB,69201,,69201; 71124; 85593,GRÄSTORP,46792,FLO BERGSKULLEN 1 B,"Bolaget skall sälja redovisningstjänster, tillsammans med övriga administrativa och ekonomiska tjänster samt teknisk konsultation inom bygg och anläggning, pedagogisk konsultation, fastighets- och maskinservice, ledarskapsutveckling och utbildning, samt därmed förenlig verksamhet.",1989-07-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556371-3469,L.L.L. Trading och Transport Aktiebolag,L.L.L. Trading och Transport Aktiebolag,49330,,49330,STOCKHOLM-GLOBEN,12128,BOX 10129,"Bolaget skall bedriva person- och godstrafik, konsultverksamhet inom företrädesvis transporter, handel med värdepapper samt därmed förenlig verksamhet.",1989-10-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556367-7342,Aktiebolaget S:t Ragnhild,Aktiebolaget S:t Ragnhild,70100,,70100,SÖDERKÖPING,61492,DROTHEMS PRÄSTGÅRD 1,"Bolaget skall idka handel med värdepapper, fastigheter, förvaltning av värdepapper, hotell och restaurangverksamhet, samt därmed förenlig verksamhet.",1989-09-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556373-6874,BRP Invest AB,BRP Invest AB,43341,,43341,SUNDSVALL,85460,FRIDHEMSGATAN 30,"Bolaget ska äga och förvalta samt bedriva handel med fastigheter, värdepapper och annan lös egendom, såsom inventarier kopplat till fastigheter.",1989-10-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556298-7288,Arver Gruppen AB,Arver Gruppen AB,70200,,70200,LIDINGÖ,18133,ROBURVÄGEN 25  AA,Bolaget ska strategiskt leda och utveckla dess dotterbolag och genom förvärv av företag utveckla koncernen samt bedriva därmed förenlig verksamhet. Bolaget skall äga och förvalta aktier.,1987-05-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556370-7172,Pajala Taxi AB,Pajala Taxi AB,49330,,49330,PAJALA,98431,KVARNVÄGEN 12,"Bolaget skall bedriva taxitrafik, persontransporter och budtransporter samt idka därmed förenlig verksamhet.",1989-09-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556400-4363,Käppaberg Konsult AB,Käppaberg Konsult AB,69201,,69201,JÄRNFORSEN,57777,RYD 14,"Aktiebolaget ska bedriva konsulttjänster inom ekonomi och marknadsföring, handel med värdepapper samt idka därmed förenlig verksamhet.",1990-07-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556398-1454,Donsö Byggservice T. Larsson Aktiebolag,Donsö Byggservice T. Larsson Aktiebolag,41000,,41000; 69201,DONSÖ,43082,BALSEBRUNNSVÄGEN 13,Bolaget skall bedriva byggnadsverksamhet samt därmed förenlig verksamhet. Utöver byggnadsverksamheten skall bolaget även bedriva konsulterande redovisningstjänster.,1990-08-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556398-2395,Ekonomikonsult Jan Häggström AB,Ekonomikonsult Jan Häggström AB,69201,,69201; 70200,ÖRNSKÖLDSVIK,89132,SJÄLEVADSGATAN 22 A,Bolaget ska bedriva ekonomiska konsulttjänster inom redovisning och rapportering samt därmed förenlig verksamhet.,1990-06-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556374-0959,Advokat Sophie Palmgren Paulsson AB,Advokat Sophie Palmgren Paulsson AB,69101,,69101,MALMÖ,21122,NORRA VALLGATAN 66,Bolaget skall bedriva advokatrörelse.,1989-10-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556374-1023,JOWON Aktiebolag,JOWON Aktiebolag,41000,,41000; 69201,HUDDINGE,14131,SOLHEMSVÄGEN 10,"Bolaget skall bedriva byggnadsverksamhet, maskinteknisk konsultation och undervisning i anslutning därtill, kameral verksamhet ävensom idka därmed förenlig verksamhet.",1989-10-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556379-4436,CADSOL Design Aktiebolag,CADSOL Design Aktiebolag,71122,,71122,VÄXJÖ,35250,HELGÖVÄGEN 43,Företagets verksamhet ska vara kapitalförvaltning.,1989-12-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556397-0903,Skoglunds Byggnadsplåtslageri Aktiebolag,Skoglunds Byggnadsplåtslageri Aktiebolag,43411,,43411,SÖDERTÄLJE,15242,KLASTORPSVÄGEN 13,"Bolaget skall bedriva plåtslageri- och snickeriarbeten på byggnader, ävensom idka därmed förenlig verksamhet.",1990-05-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556380-0761,Handens Fasad & Puts AB,Handens Fasad & Puts AB,43310,,43310,SÖDERBY,13665,HJÄLMVIDS BACKE 69,"Bolaget skall bedriva puts- och murningsarbeten, fasad- renoveringar och nyproduktion av fasader samt därmed förenlig verksamhet.",1989-12-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556304-4121,MIT House Com AB,MIT House Com AB,71110,,71110,VARBERG,43253,ULLEBOVÄGEN 2,"Bolaget skall bedriva forskning, projektering och utveckling inom fysisk planering, gestaltning och användning av vår miljö samt därmed förenlig verksamhet.",1987-10-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556305-0391,TAXI STRÖMSTAD Aktiebolag,TAXI STRÖMSTAD Aktiebolag,70200,,70200,STRÖMSTAD,45235,OSLOVÄGEN 26,"Bolaget skall samordna och administrera beställningstrafik, samt äga och förvalta fast egendom jämte därmed förenlig verksamhet.",1987-09-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556306-1695,Berlock Information AB,Berlock Information AB,70200,,70200,ENKÖPING,74530,TULLGATAN 24,"Bolaget skall bedriva e- handel genom försäljning av information i ekonomiska, juridiska, administrativa och naturvetenskapliga frågor till företag och privatpersoner samt därmed förenlig verksamhet. Bolaget skall dessutom bedriva köp, försäljning och förvaltning av värdepapper och fastigheter samt därmed förenlig verksamhet.",1987-10-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556400-0247,Topas Vatten AB,Topas Vatten AB,71122,,71122,TÄBY,18762,GRIBBYLUNDSVÄGEN 5,"Bolaget ska bedriva utveckling, tillverkning, försäljning och service av produkter och processer för rening av avloppsvatten, samt därmed förenlig verksamhet.",1990-08-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556306-1836,Dalens Fastigheter Stockholm Aktiebolag,Dalens Fastigheter Stockholm Aktiebolag,70200,,70200,SKOGÅS,14250,FRÄSARVÄGEN 5 A,Föremålet för bolagets verksamhet är att bedriva konsult- verksamhet inom fastighetsförvaltning jämte därmed förenlig verksamhet.,1987-09-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556379-9831,VVS-Projektering i Linköping Aktiebolag,VVS-Projektering i Linköping Aktiebolag,71124,,71124,LINKÖPING,58110,BOX 1056,Bolaget skall utföra konsulttjänster inom energiområdet och därmed förenlig verksamhet.,1989-12-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556408-8515,Vasta Art & Science Aktiebolag,Vasta Art & Science Aktiebolag,71124,,71124,FALKENBERG,31137,ULFSTANDSVÄGEN 1,"Bolaget skall bedriva teknisk konsultverksamhet, miljörevisioner, handel med konst & antikviteter ävensom idka därmed förenlig verksamhet.",1990-10-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556408-8754,Helmer Bryd AB,Helmer Bryd AB,69201,,69201,AVESTA,77430,KUNGSGATAN 16,"Föremålet för bolagets verksamhet är jakt- och stugförmedling, försäljning av kläder och jaktutrustning, kameral uppdrags- verksamhet. Köpa, bygga, äga, förvalta och sälja fastigheter och därmed förenlig verksamhet.",1990-10-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556415-8029,Gustavsbergsgården AB,Gustavsbergsgården AB,43320,,43320; 68202; 78201; 43342,VALLA,64162,HÄGERBO GUSTAVSBERG 1,"Bolaget skall bedriva verksamhet inom byggnation och snickeriarbeten, glasmästeriarbeten, skogsbruksentreprenader, lantbruksentreprenader med förenliga verksamheter. Äga och förvalta fastigheter, fastighetsservice, städtjänster, tillverkning och försäljning av keramik. Bemanningsverksamhet med uthyrning av personal, redovisningstjänster, äga och förvalta aktier och andra värdepapper samt därmed förenlig verksamhet.",1991-01-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556416-9794,Söderby VVS Aktiebolag,Söderby VVS Aktiebolag,41000,,41000,NORRTÄLJE,76133,SJÖFARTSGATAN 1  LGH 2703,"Bolaget skall bedriva byggnadsarbeten, renovering och underhåll inom byggnadsbranschen.",1991-01-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556418-3753,Christer Andersson Väg Aktiebolag,Christer Andersson Väg Aktiebolag,42110,,42110,GRANGÄRDE,77013,MAS JANS VÄG 7,"Bolaget skall utföra vägberedning och vägentreprenader, ävensom idka därmed förenlig verksamhet.",1991-01-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556419-8678,Falkman Byggconsult AB,Falkman Byggconsult AB,69201,,69201; 71200,NORRTÄLJE,76197,SPILLERSBODAVÄGEN 139,"Bolaget skall utföra byggkonsultationer, deltaga i tillståndsprocesser samt bistå i olika frågor kring byggprocessen samt därmed förenlig verksamhet.",1991-02-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556400-0445,ÖRTRÄSK TAXI Aktiebolag,ÖRTRÄSK TAXI Aktiebolag,49330,,49330,BJURHOLM,91631,ÅKERVÄGEN 12,"Föremålet för bolagets verksamhet är person- och varutransport, lastbilsåkeri, värdepappershandel samt fastighetsförvaltning och därmed förenlig verksamhet.",1990-07-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556401-9783,Grävfirma Jan Karlsson Aktiebolag,Grävfirma Jan Karlsson Aktiebolag,43120,,43120; 43999; 43991,SKÖVDE,54970,RÄFSAREGRÄND 9 B,Bolaget skall bedriva entreprenadverksamhet inom branchen bygg och anläggning samt därmed förenlig verksamhet.,1990-08-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556418-3332,MOORE LASSAREV AB,MOORE LASSAREV AB,69201,,69201,GÖTEBORG,41104,LILLA BOMMEN 3 B,"Bolaget ska bedriva verksamhet inom redovisning, ekonomiska konsultationer samt därmed förenlig verksamhet.",1991-02-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556333-9091,Benny Norström Snickare Aktiebolag,Benny Norström Snickare Aktiebolag,41000,,41000; 43320,HUDDINGE,14140,OXVÄGEN 22,"Bolaget skall bedriva renovering och byggnation av fastigheter, snickeriarbeten samt därmed förenlig verksamhet.",1988-09-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556352-2993,Transportteknik Tom Arkrot Aktiebolag,Transportteknik Tom Arkrot Aktiebolag,49410,,49410,DJURHAMN,13973,SKEPPARÖVÄGEN 41,Bolaget skall bedriva transporter till land och sjöss ävensom idka därmed förenlig verksamhet.,1989-02-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556353-6845,M. Lindahl & Co Aktiebolag,M. Lindahl & Co Aktiebolag,70200,,70200,STOCKHOLM,11173,MAILBOX 375,"Bolaget skall skall förvalta fast och lös egendom, bedriva handel med värdepapper, bedriva konsultverksamhet inom området risk- kapitalinvesteringar samt idka därmed förenlig verksamhet.",1989-03-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556369-5708,OpiFer Aktiebolag,OpiFer Aktiebolag,70200,,70200,HUDDINGE,14133,MARSVÄGEN 6,"Bolaget skall bedriva verksamhet som organisationskonsult och utveckla projekt- och affärsidéer i befintliga eller nya företag samt förvärva och förvalta fast egendom, aktier, andelar och andra värdepapper ävensom idka därmed förenlig verksamhet.",1989-10-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556369-8819,Viovio AB,Viovio Aktiebolag,71129,,71129; 85522; 81210,GÖTEBORG,41252,BURGÅRDSGATAN 13  LGH 1201,"Bolaget skall bedriva utbildning och konsultverksamhet inom området dockteater och docktillverkning. Bolaget skall även bedriva näthandel av rekvisita, tillverknings- och utbildningsmaterial för dockteater och docktillverkning. Bolaget skall även tillhandahålla dels tjänster och utbildning inom hemservice och hantverk samt dels tekniska konsulttjänster inom geodesi samt därmed förenlig verksamhet.",1989-09-06,active,,,http://www.ahlcronageodesi.se,,hitta_orgnr,high,,+46 70 634 19 97,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/viovio+ab/g%C3%B6teborg/mpuxfkru | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,ahlcronageodesi.se,https://ahlcronageodesi.se,static,no,,,
556359-4661,Vadstena Bokföringsbyrå Aktiebolag,Vadstena Bokföringsbyrå Aktiebolag,69201,,69201,VADSTENA,59230,STORGATAN 34,"Bolaget skall bedriva ekonomi- och skatterådgivning, redovisning, juridisk rådgivning, fastighetsförmedling, handel med värdepapper, äga vindkraft och fastighet samt därmed förenlig verksamhet.",1989-05-09,active,,,https://areal.se/om-areal/,,hitta_orgnr,high,,+4614312500,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/areal-linkoping/link%C3%B6ping/mpvxekot | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:phone_in_segment,areal.se,,,,,,
556345-6812,Timilon Aktiebolag,Timilon Aktiebolag,71121,,71121; 71122; 71124,SKURUP,27493,SARITSLÖV 67,"Bolaget skall bedriva konsultverksamhet inom ekonomi, byggverksamhet, reklam och marknadsföring samt arrangemang av konferenser och kulturella evenemang.",1989-02-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556376-1229,BLADVERKET Aktiebolag,BLADVERKET Aktiebolag,71122,,71122,BROMMA,16756,STAVGÅRDSGATAN 43,"Bolaget skall bedriva handel med tekniska produkter inom verkstadsbranschen, driva teknisk och managementorienterad konsultverksamhet samt därmed förenlig verksamhet. Vidare skall bolaget äga och förvalta såväl fast och lös egendom samt bedriva handel med börsnoterade värdepapper.",1990-10-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556364-2239,SCHEDIN Management AB,SCHEDIN Management AB,70200,,70200,STOCKHOLM,11528,SANDHAMNSGATAN 57 C,Bolaget skall bedriva managementkonsultverksamhet inom ekonomi och finansområdet.,1989-12-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556370-5515,Åke Åkessons VVS Aktiebolag,Åke Åkessons VVS Aktiebolag,43221,,43221,ANDERSLÖV,23172,NORRA GRÖNBY 324,"Bolaget skall bedriva entreprenadarbeten avseende värme, vatten och sanitet och därmed förenlig verksamhet.",1989-09-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556267-8572,Byggmästare Rune Nilsson Aktiebolag,Byggmästare Rune Nilsson Aktiebolag,41000,,41000,VÄDDÖ,76492,VEDGRUNDET 10,"Bolaget skall bedriva byggnadsentreprenader, byggnadskonsultverksamhet och administrativa tjänster åt byggnadsföretag och därmed förenlig verksamhet.",1987-12-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556369-0626,Aktiebolaget Västkustens Plåt & isolering,Aktiebolaget Västkustens Plåt & isolering,43411,,43411; 25530,VÄRÖBACKA,43265,LIDENVÄGEN 1,Bolaget skall idka plåtslageri och isoleringsarbeten samt därmed förenlig verksamhet.,1989-09-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556274-7633,Skåneform Aktiebolag,Skåneform Aktiebolag,69201,,69201,VEBERÖD,24796,VEBERÖD 1291,Bolaget skall driva handel med och tillverkning av porslins och lergodsvaror samt härmed förenlig verksamhet.,1986-03-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556340-5322,Skorstenstätaren & Kaminbutiken i Västerås AB,Skorstenstätaren & Kaminbutiken i Västerås AB,43222,,43222,VÄSTERÅS,72137,TUNBYTORPSGATAN 8,"Aktiebolagets verksamhet ska vara försäljning och underhåll av skorstenar, ventilationssystem och kaminer och därmed förenlig verksamhet.",1988-11-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
