orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug
559313-1344,Have a great hair day AB,Have a great hair day AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Västernorrland,Örnsköldsvik,Örnsköldsvik,891 41,Björnavägen 41 a,14088000,2025-12,sweet_spot,true,2,,,,,,https://www.allabolag.se/foretag/have-a-great-hair-day-ab/ornskoldsvik/-/2KI07RKI63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | brave_candidates:65 | brave_no_name_match | ddg_candidates:11 | ddg_no_name_match
556470-0556,Linfalk AB,Linfalk AB,E-handel,E-handel,Järnvaror; E-handel; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Östergötland,Linköping,Linköping,582 78,Fågelögatan 2,14030000,2025-12,sweet_spot,true,3,,013314020,info@linfalk.se,https://www.linfalk.se/,https://www.linfalk.se/,https://www.allabolag.se/foretag/linfalk-ab/linkoping/-/2K12UFGI5YDVM,already_present,,
556495-5408,OM Bäckmans Maskin & Trädgård AB,OM Bäckmans Maskin & Trädgård AB,Trädgård,"Trädgårdsmaskiner, trädgårdsredskap","Trädgårdsmaskiner, trädgårdsredskap; Lantbruksmaskiner, förnödenheter - grossist; Lantbruksmaskiner, förnödenheter; Grossister",Skåne,Bromölla,BROMÖLLA,29539,Sockerbruksvägen 1,14025000,2024-12,sweet_spot,true,3,,0456-491 20,lars@backmanmaskin.se,https://www.backmansbromolla.se,https://www.backmansbromolla.se,https://www.allabolag.se/foretag/om-backmans-maskin-och-tradgard-ab/bromolla/-/2K18B2OI5YI5D,already_present,,
559432-1233,RA Macken AB,RA Macken AB,Smycken,Butikshandel,Butikshandel; Bensinstationer,Västmanland,Sala,Västerfärnebo,733 62,Tappebo 134,13956000,2025-08,sweet_spot,true,8,,,,,,https://www.allabolag.se/foretag/ra-macken-ab/sala/-/2KIPPW1I63ILL,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:16 | mojeek_no_name_match | brave_candidates:61 | brave_no_name_match | ddg_candidates:10 | ddg_no_name_match
559074-0782,Ranviks Trädgård AB,Ranviks Trädgård AB,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,Skåne,Båstad,Båstad,269 42,Tarravägen 67,13937000,2025-06,sweet_spot,true,8,,,,,https://ranvik.se,https://www.allabolag.se/foretag/ranviks-tradgard-ab/bastad/-/2KGKZ72I63IHJ,mojeek,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:22 | mojeek_picked:ranvik.se(score=14)
556923-0278,Leksaker i Västerås AB,Leksaker i Västerås AB,Leksaker,"Spel, nöjesanläggningsutrustningar","Spel, nöjesanläggningsutrustningar; Butikshandel; Detaljhandel",Västmanland,Västerås,Västerås,722 15,Vasagatan 18,13856000,2024-12,sweet_spot,true,7,,0737553778,,,http://www.leklust.se/,https://www.allabolag.se/foretag/leksaker-i-vasteras-ab/vasteras/-/2K3RXL2I5YHPS,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/leksaker-i-vasteras-ab/v%C3%A4ster%C3%A5s/jpbbzaalc | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556848-7341,BE Trädgård AB,BE Trädgård AB,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,Västerbotten,Skellefteå,Skellefteå,931 44,Kronbodgatan 5,13800000,2025-08,sweet_spot,true,11,,0910452680,,,http://blomsterslottet.interflora.se,https://www.allabolag.se/foretag/be-tradgard-ab/skelleftea/-/2K3C0BXI63IHJ,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/be+tr%C3%A4dg%C3%A5rd+ab/skellefte%C3%A5/cnpqqtbzd | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
559323-5145,Moderna Smycken Jönköping AB,Moderna Smycken Jönköping AB,Smycken,Urmakare,"Urmakare; Klockor, ur; Guld, silver, ädelstenar; Butikshandel",Jönköping,Jönköping,Jönköping,553 21,Östra Storgatan 5,13765000,2025-08,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/moderna-smycken-jonkoping-ab/jonkoping/-/2KI2FUXI63IL5,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | brave_candidates:58 | brave_no_name_match | ddg_candidates:10 | ddg_no_name_match
556459-4868,Bürgers Växtgård AB,Bürgers Växtgård Aktiebolag,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,,,,,,13737000,2024-12,sweet_spot,true,9,,,,,,https://www.allabolag.se/foretag/b-rgers-vaxtgard-ab/-/-/2K10KVOI63IHJ,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:32 | mojeek_no_name_match | brave_failed:HTTP 429 for https://search.brave.com/search?q=B%C3%BCrgers%20V%C3%A4xtg%C3%A5rd%20AB%20hemsida | ddg_candidates:10 | ddg_no_name_match
556062-8629,Barcom Hem-Elektronik Aktiebolag,Barcom Hem-Elektronik Aktiebolag,Hemelektronik,Elektronik- och telekommunikationsutrustning,"Elektronik- och telekommunikationsutrustning; Elektronik- och telekommunikationsutrustning - grossist; Grossister; Datorer - Kringutrustningar; Datorer och kringutrustningar - tillverkning; Producenter; Metaller, legeringar - grossist",Stockholm,Solna,Solna,171 48,Industrivägen 21,13730000,2025-04,sweet_spot,true,1,,,,,https://www.barcom.se,https://www.allabolag.se/foretag/barcom-hem-elektronik-aktiebolag/solna/-/2JYNKIDI63IFR,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:barcom.se(score=14)
559269-6255,We are Beauty AB,We are Beauty AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Detaljhandel; Postorder/e-handel; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,114 46,Grev Turegatan 11 a 5 Trappor,13682000,2024-12,sweet_spot,true,4,,,,,https://www.wearebeauty.com,https://www.allabolag.se/foretag/we-are-beauty-ab/stockholm/-/2KHQW1RI63IIB,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:wearebeauty.com(score=20)
556883-3239,Dentalum Östersund AB,Dentalum Östersund AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Jämtland,Östersund,Östersund,831 31,Prästgårdsgatan 28,13680000,2025-06,sweet_spot,true,6,,,,,https://curatandvard.se/,https://www.allabolag.se/foretag/dentalum-ostersund-ab/ostersund/-/2K3JF87I63IHB,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/cura-tandvard/stockholm/anrbikln | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556568-3330,Skearyd Trädgård AB,Skearyd Trädgård AB,Trädgård,Jordbruk,"Jordbruk; Jordbruk - odling; Grossister; Växtservice, kontorsservice",Blekinge,Karlskrona,Jämjö,373 75,Skearydsvägen 36,13626000,2025-08,sweet_spot,true,5,,,,,http://www.skearyd.se/,https://www.allabolag.se/foretag/skearyd-tradgard-ab/karlskrona/-/2K1NWQQI63IHJ,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/skearyd+tr%C3%A4dg%C3%A5rd+ab/j%C3%A4mj%C3%B6/nqudiacpq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
559348-4776,The Untamed of the North Aktiebolag,The Untamed of the North Aktiebolag,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,114 56,Torstenssonsgatan 8 a,13528000,2024-12,sweet_spot,true,4,,,,,,https://www.allabolag.se/foretag/the-untamed-of-the-north-aktiebolag/stockholm/-/2KI7SH4I63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_no_name_match
556678-9557,Artisan Organics Sweden AB,Artisan Organics Sweden AB,Kosmetika,"Kemikalier, industrikemikalier - tillverkning","Kemikalier, industrikemikalier - tillverkning; Kemikalier, industrikemikalier; Producenter; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Skåne,Malmö,Malmö,211 20,Grimsbygatan 24,13439000,2025-06,sweet_spot,true,5,,0406152030,,,,https://www.allabolag.se/foretag/artisan-organics-sweden-ab/malmo/-/2K2BMB9I63IHZ,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | brave_failed:HTTP 429 for https://search.brave.com/search?q=Artisan%20Organics%20Sweden%20AB%20hemsida | ddg_candidates:10 | ddg_no_name_match
556602-6380,Tobias Frick Ung Mode AB,Tobias Frick Ung Mode AB,Mode,Konfektion,"Konfektion; Butikshandel; Detaljhandel; Kläder, skor",Kalmar,Oskarshamn,Oskarshamn,572 30,Lilla Torget 3,13413000,2025-12,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/tobias-frick-ung-mode-ab/oskarshamn/-/2K1V9FWI63II4,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_no_name_match
556266-0646,Elfströms Trädgårdsanläggningar Aktiebolag,Elfströms Trädgårdsanläggningar Aktiebolag,Trädgård,Parkanläggningar,Parkanläggningar,Stockholm,Stockholm,Stockholm,116 38,Malmgårdsvägen 20,13353000,2025-04,sweet_spot,true,14,,086444824,,,https://www.elfstromstradgard.se/,https://www.allabolag.se/foretag/elfstroms-tradgardsanlaggningar-aktiebolag/stockholm/-/2JZV4FAI63IJW,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/elfstr%C3%B6ms+tr%C3%A4dg%C3%A5rdsanl%C3%A4ggningar+ab/stockholm/lqsvbdcr | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556685-8766,Teamtandvården Onsala AB,Teamtandvården Onsala AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Halland,Kungsbacka,Onsala,439 30,Mariedalsvägen 6,13286000,2024-12,sweet_spot,true,13,,0300569220,,,,https://www.allabolag.se/foretag/teamtandvarden-onsala-ab/kungsbacka/-/2K2D3PQI63IHB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_no_name_match
559070-7518,Lip Intimate Care Sweden AB,Lip Intimate Care Sweden AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,,,13162000,2024-12,sweet_spot,true,1,,,,,,https://www.allabolag.se/foretag/lip-intimate-care-sweden-ab/stockholm/-/2KGK9J2I63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:12 | ddg_no_name_match
559186-6966,Tina Hyllander macken AB,Tina Hyllander macken AB,Smycken,Livsmedel,Livsmedel; Butikshandel; Uthyrning; Bilar; Detaljhandel; Bilreservdelar,Skåne,Kävlinge,Löddeköpinge,246 42,Marknadsvägen 1,13012000,2025-12,sweet_spot,true,6,,,,,,https://www.allabolag.se/foretag/tina-hyllander-macken-ab/kavlinge/-/2KH945YI5YFWD,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_no_name_match
556826-0433,Skanstulls Hälsokost AB,Skanstulls Hälsokost AB,Hälsokost,Livsmedel,"Livsmedel; Hälsokost, naturläkemedel; Detaljhandel; Butikshandel",Stockholm,Stockholm,Stockholm,116 61,Ringvägen 106,12998000,2025-12,sweet_spot,true,6,,,,,https://skanstullshalsokost.se,https://www.allabolag.se/foretag/skanstulls-halsokost-ab/stockholm/-/2K3758XI5YFWD,mojeek,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:30 | mojeek_picked:skanstullshalsokost.se(score=22)
556981-2380,Svängsta Macken AB,Svängsta Macken AB,Smycken,Butikshandel,Butikshandel; Bensinstationer; Livsmedel; Bilar; Bilreparationer,Blekinge,Karlshamn,Svängsta,376 37,Holländarevägen 12,12978000,2024-12,sweet_spot,true,3,,,,,https://svangsta.cylex.se,https://www.allabolag.se/foretag/svangsta-macken-ab/karlshamn/-/2K44EQKI63ILL,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:svangsta.cylex.se(score=14)
556938-9645,Stockholms Markpartner AB,Stockholms markpartner AB,Trädgård,"Markentreprenörer, anläggningsentreprenörer","Markentreprenörer, anläggningsentreprenörer; Entreprenörer; Byggmästare; Parkanläggningar; Konsulter; Teknikkonsulter; Byggentreprenader-Infrastruktur",Stockholm,Upplands Väsby,,194 52,Fritiofsväg 69,12975000,2024-12,sweet_spot,true,6,,010-510 04 40,info@stockholmsmarkpartner.se,https://www.stockholmsmarkpartner.se,https://www.stockholmsmarkpartner.se,https://www.allabolag.se/foretag/stockholms-markpartner-ab/upplands-vasby/-/2K3VCJXI5YG4F,already_present,,
556564-0199,Q4 Ekonomi,Q4 Ekonomi AB,Mode,"Redovisning, bokföring","Redovisning, bokföring; Skatterådgivning",Västernorrland,Örnsköldsvik,Örnsköldsvik,891 31,Magasinsallén 2E,12931000,2024-12,sweet_spot,true,11,,0660-24 70 00,info@q4ekonomi.se,https://q4ekonomi.se/,https://q4ekonomi.se/,https://www.allabolag.se/foretag/q4-ekonomi/ornskoldsvik/-/2K1MZGNI5YGRY,already_present,,
559292-7114,Leksaksfabriken i Dalarna AB,Leksaksfabriken i Dalarna AB,Leksaker,"Spel, nöjesanläggningsutrustningar","Spel, nöjesanläggningsutrustningar; Butikshandel; Detaljhandel",Dalarna,Leksand,Leksand,793 31,Leksandsvägen 3,12758000,2024-12,sweet_spot,true,6,,,,,,https://www.allabolag.se/foretag/leksaksfabriken-i-dalarna-ab/leksand/-/2KHVU6II5YHPS,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_no_name_match
556900-9789,Juhl Svenska AB,Juhl Svenska AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Skåne,Helsingborg,Helsingborg,,,12727000,2025-06,sweet_spot,true,1,,,,,https://juhl-as.com,https://www.allabolag.se/foretag/juhl-svenska-ab/helsingborg/-/2K3N7GDI63IIB,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:juhl-as.com(score=12)
556462-9060,Jansens Modehus Aktiebolag,Jansens Modehus Aktiebolag,Mode,Konfektion,"Konfektion; Butikshandel; Detaljhandel; Kläder, skor",Blekinge,Karlshamn,Karlshamn,374 35,Drottninggatan 39,12608000,2025-04,sweet_spot,true,6,,0454302432,,,,https://www.allabolag.se/foretag/jansens-modehus-aktiebolag/karlshamn/-/2K11B9GI63II4,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_no_name_match
556670-5728,Docksta Sko AB,Docksta Sko AB,Skor,Skor,Skor; Skor och tillbehör - produktion; Producenter; Medicinteknisk utrustning; Medicinteknisk utrustning - produktion; Konfektion; Kläder; Grossister,Västernorrland,Kramfors,Docksta,873 96,Berg 301,12579000,2025-08,sweet_spot,true,6,,,,,http://www.dockstasko.se/,https://www.allabolag.se/foretag/docksta-sko-ab/kramfors/-/2K29TMOI5YHGY,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/docksta+sko+ab/docksta/mqrydalmn | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556419-6284,Aktiebolaget Mathisens Skofabrik,Aktiebolaget Mathisens Skofabrik,Skor,Skor,Skor; Skor och tillbehör - produktion; Producenter,Örebro,Kumla,Kumla,692 73,Sillagatan 12,12571000,2025-04,sweet_spot,true,9,,,,,,https://www.allabolag.se/foretag/aktiebolaget-mathisens-skofabrik/kumla/-/2K0S1BWI5YHGY,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_skipped_rate_limited | ddg_candidates:10 | ddg_no_name_match
556515-5610,Ekofekt AB,Ekofekt AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Skåne,Kristianstad,Kristianstad,291 62,Isolatorvägen 6,12541000,2024-12,sweet_spot,true,6,,,,,https://ekofekt.se,https://www.allabolag.se/foretag/ekofekt-ab/kristianstad/-/2K1CLJUI63IIB,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:14 | mojeek_no_name_match | brave_candidates:55 | brave_picked:ekofekt.se(score=22)
556408-8614,1910 konfektions AB,1910 konfektions AB,Kosmetika,Konfektion,"Konfektion; Butikshandel; Detaljhandel; Kläder, skor; Skor - detaljister; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Skåne,Simrishamn,Simrishamn,272 31,Stortorget 1,12473000,2025-08,sweet_spot,true,7,,041410585,,,http://www.simrishamnsmodehus.se/,https://www.allabolag.se/foretag/1910-konfektions-ab/simrishamn/-/2K0PQ92I63II4,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/1910+simrishamns+modehus/simrishamn/ikguhggv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556025-3139,Smycka Kumla AB,Smycka Kumla AB,Smycken,Urmakare,"Urmakare; Klockor, ur; Guld, silver, ädelstenar; Butikshandel",Örebro,Kumla,Kumla,692 30,Hagendalsvägen 3,12440000,2025-06,sweet_spot,true,5,,,,,https://www.smycka.se,https://www.allabolag.se/foretag/smycka-kumla-ab/kumla/-/2JYFIS3I63IL5,mojeek,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:18 | mojeek_picked:smycka.se(score=14)
556337-2902,Hökensås Sportfiske AB,Hökensås Sportfiske Aktiebolag,Sport,Sport,"Sport; Fisk, skaldjur; Fiskodling, skaldjursodling, sportfiske; Sportanläggningar; Detaljhandel; Butikshandel",,,TIDAHOLM,522 91,Håkängen,12307000,2024-12,sweet_spot,true,11,,0502 23000,marten@hokensas.se,http://www.hokensas.se,http://www.hokensas.se,https://www.allabolag.se/foretag/hokensas-sportfiske-ab/-/-/2K0AE06I5YHR6,already_present,,
559083-3330,Tandhälsan Säter AB,Tandhälsan Säter AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Dalarna,Säter,Säter,783 30,Västra Långgatan 6,12301000,2025-12,sweet_spot,true,7,,,,,http://www.tandhalsansater.se,https://www.allabolag.se/foretag/tandhalsan-sater-ab/sater/-/2KGMYLUI63IHB,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/tandhalsan-sater-ab/s%C3%A4ter/msefagqbx | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
559095-6404,Selahatin AB,Selahatin AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister; Industridesigners; Designers, formgivare; Läder och lädervaror; Läder, skor, inredning, reseeffekter och textilier; Detaljhandel; Butikshandel",Stockholm,Stockholm,Stockholm,114 56,Strandvägen 7 b,12242000,2024-12,sweet_spot,true,6,,,,,http://www.selahatin.com,https://www.allabolag.se/foretag/selahatin-ab/stockholm/-/2KGPLKKI63IIB,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/selahatin-ab/stockholm/ikpsydej | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
