orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug
556946-5528,Kennedies Nygatan AB,Kennedies Nygatan AB,47711,,47711,KÖPING,73197,HUSTA 6,"Föremålet för bolagets verksamhet är att bedriva grossistverksamhet, agenturverksamhet och detaljhandel inom mode och inredning samt konsultverksamhet inom försäljning och marknadsföring, äga och förvalta fastigheter och aktier och därmed förenlig verksamhet.",2013-10-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556883-7545,Hälsokuren Sweden AB,Hälsokuren Sweden AB,47271,,47271; 96230,ESKILSTUNA,63218,KUNGSGATAN 20  0TR,"Företagets huvudsakliga verksamhet ska vara att arbeta samt utbilda inom företagande, konsultation och försäljning framförallt inom de områden som ryms inom Traditionell Kinesisk medicin. Bolaget ska erbjuda tjänster så som kurser, resor, behandlingar, föreläsningar, och annan därmed förenlig verksamhet. Bolaget ska även förmedla samt försälja produkter och tillbehör för rehabilitering, hälso- och skönhetsvård och annat som är förenligt med verksamheten. Detta ska ske genom direkt ägande eller via dotterbolag jämte därmed förenlig verksamhet.",2012-02-09,active,,,http://www.halsokuren.com,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/halsokuren-sweden-ab/eskilstuna/jlgbxfmuv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556920-7284,Ekman Trade & Promotion AB,Ekman Trade & Promotion AB,47552,,47552,KUNGSBACKA,43422,BOX 10134,"Bolaget skall bedriva framtagande, produktion samt distribution av reklam och marknadsföringstjänster. Även import och export av ovan samt hushållsprodukter. Handel med optiska produkter såsom bågar, glas och glasögon samt därmed förenlig verksamhet.",2013-01-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556888-3812,Mannemarks Hem och Trädgård AB,Mannemarks Hem och Trädgård AB,46160,,46160,KUNGSBACKA,43439,BORGÅSLIDEN 47,"Bolagets verksamhet ska vara att bedriva trädgårdsskötsel, inredning & underhåll, bygg & fastighetsförvaltning och bedriva därmed förenlig verksamhet.",2012-03-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556895-1114,Cajemo AB,Cajemo AB,47122,,47122,ALVHEM,44691,ADOLF FREDRIKS VÄG 14,"Verksamhet och förmedling av produkter och tjänste rörande hälsa, kropp och skönhet.",2012-06-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556934-6884,Aktiebolaget Sten Pernwall,Aktiebolaget Sten Pernwall,46310,,46310,BRÄMHULT,50730,VÄVLAGARGATAN 16,Bolaget ska bedriva grossist inom frukt och grönsaker samt därmed förenlig verksamhet.,2013-06-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556901-2866,Bluewater Sweden AB,Bluewater Sweden AB,46842,,46842; 46340,STOCKHOLM,11556,FRIHAMNSGATAN 28,"Bolagets verksamhet skall direkt eller indirekt bestå av tillverkning och försäljning av vattenrenare, vattenstationer, vattenfilter, vattenflaskor och utrustning för förbättring av vattenkvalitet, samt även tillverkning av alla ovanstående ingående detaljer och delar samt därmed förenlig verksamhet.",2012-08-21,active,,,http://www.bluewatergroup.com/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/bluewater-sweden-ab/stockholm/mqzjcgrtu | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556967-2313,AKkurant Friskvård AB,AKkurant Friskvård AB,47552,,47552,GÄVLE,80260,BATTERIGATAN 18,"Bolaget skall bedriva konsult- och kursverksamhet inom området friskvård och hälsa, dessutom bedriva utbildning och konsultverksamhet inom HR-området. Bolaget skall även arbeta med massagepraktik och utbildning inom massage, samt föreläsningar och kursverksamhet inom HR, friskvård och hälsa och arbetslivsinriktad rehabilitering. Bolaget skall driva tillverkning och försäljning av produkter inom friskvårdsområdet och heminredning. Bolaget skall dessutom äga och förvalta värdepapper.",2014-04-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556941-4591,Hagströms Ekolivs AB,Hagströms Ekolivs AB,47121,,47121; 90120,HÄRNÖSAND,87130,LÅNGGATAN 14,Försäljning av ekologiska livsmedel. Konstnärlig och kulturell verksamhet samt underhållningsverksamhet.,2013-09-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556911-7954,Brilliant Products in Sweden AB,Brilliant Products in Sweden AB,47711,,47711,KUNGÄLV,44239,KORSRIDDAREGATAN 3,"Aktiebolaget ska bedriva tillverkning och distribution av produkter inom sport, mode och accessoarer.",2012-11-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556911-8101,Hällevik Sport AB,Hällevik Sport AB,47121,,47121; 47634; 46420; 74990; 47712,SÖLVESBORG,29472,STUGVÄGEN 14,"Bolaget ska bedriva konsultation inom hotell- och restaurangverksamhet, företagsorganisation och administration samt därmed förenlig verksamhet. Bolaget ska även bedriva handel med sportartiklar och konfektion, utbildningsverksamhet och konsulttjänster inom tennis samt därmed förenlig verksamhet.",2012-11-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556942-2131,Sidensjö Handelsbod AB,Sidensjö Handelsbod AB,47112,,47112; 77110; 77390,SIDENSJÖ,89395,STRYVÄGEN 11,Detaljhandel med dagligvaror samt handel med livsmedel och därmed förenlig verksamhet.,2013-09-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556963-6755,Fredag Handel AB,Fredag Handel AB,47552,,47552; 47122; 47553,VÄSTRA FRÖLUNDA,42132,LONA KNAPES GATA 5,Bolaget ska bedriva e handel med hälsokost och därmed förenlig verksamhet.,2014-03-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556921-4975,Bergnäs K C Teknik AB,Bergnäs K C Teknik AB,46641,,46641; 71129,VINDELN,92291,BERGNÄS 134,Föremålet för bolagets verksamhet är teknisk rådgivning inom trädindustrin. Tillverkning och försäljning av mätinsturment och därmed förenlig verksamhet.,2013-02-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556969-5827,EBLM Invest AB,EBLM Invest AB,47112,,47112,STOCKHOLM,10247,BOX 5316,"Bolaget har för avsikt att bedriva utveckling av digitala verktyg för juridiskt arbete, samt därmed förenlig verksamhet.",2014-04-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556970-1617,Allt AB,Allt AB,46649,,46649; 70200; 86999,NYKÖPING,61163,INSEKTSVÄGEN 5,"Bolaget bedriver konsulttjänster, projektledning och personaluthyrning inom framförallt ledande positioner såsom VD och chefsuppdrag, men även inom ledarskap, ledarskapsutveckling och personals hälsa. Bolaget bedriver även försäljning av bryggeriutrustning och bryggeriprodukter samt därmed förenlig verksamhet.",2014-04-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556930-5971,Ping Pong Galleri AB,Ping Pong Galleri AB,47692,,47692,MALMÖ,21146,RÅDMANSGATAN 15 F,"Företaget skall bedriva konstgalleri, handel med konst samt mediaverksamhet",2013-04-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556991-0705,Designgaraget AB,Designgaraget AB,46150,,46150; 79120; 70200,VÄSTERÅS,72210,SJÖMÄRKESGATAN 4 C,"Bolaget ska bedriva rådgivande och konsultativ verksamhet i företagslednings-, PR-, marknadsförings-, kommunikations- och informationsfrågor, affärsutveckling, strategier, försäljning och distribution, organisationsutveckling, rekrytering och utbildning, äga och förvalta fast och lös egendom samt idka därmed förenlig verksamhet.  Bolaget ska också bedriva handel, import och export samt försäljning via internet, med varor och förbrukningsartiklar inom heminredning, drycker och alkoholhaltiga drycker, livsmedles- hantering, restaurangverksamhet, möbler, design- och hem- inredningartiklar, fritids- och trädgårdsprodukter, och därmed förenlig verksamhet.",2014-11-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556962-3670,Verona P Turspel Aktiebolag,Verona P Turspel Aktiebolag,47260,,47260,STOCKHOLM,11122,KUNGSGATAN 68,Bolaget ska bedriva spel och tobaksaffär.,2014-02-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556975-5399,Brakeparts Logistic Sweden AB,Brakeparts Logistic Sweden AB,47820,,47820; 47811,VARA,53434,NORDHEMSGATAN 18,"Bolaget skall bedriva distribution-, import, export och försäljning av reservdelar till bil, husvagn och släpvagn.",2014-06-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556969-0729,Greenline Sweden AB,Greenline Sweden AB,47633,,47633; 90200; 43210,HÄGERSTEN,12940,PETTERSBERGSVÄGEN 63 A,"Företaget skall bedriva import, handel och uthyrning av lös egendom inom båtbranschen, installation och reparation av elektriska anläggningar, solcellsteknik och batterier, import och handel av kemiskt tekniska produkter samt därmed förenlig verksamhet.",2014-04-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556960-7350,Järn & Fritid Kungsör AB,Järn & Fritid Kungsör AB,47711,,47711; 46620,KUNGSÖR,73691,SKVALBACKEN 141  LOCKMORA,"Aktiebolaget ska bedriva försäljning av handverktyg, metallbearbetningsmaskiner, skruv och mutter samt arbets- och fritidskläder jämte därmed förenlig verksamhet.",2014-02-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556966-1084,Sole Energi AB,Sole Energi AB,47122,,47122,HÄGERSTEN,12647,BÄCKVÄGEN 49,"Bolaget skall bedriva konsult- och försäljningsverksamhet inom solenergi, uthyrning av personal, och därmed förenlig verksamhet.",2014-03-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556944-0646,Performit Sweden Holding AB,Performit Sweden Holding AB,46420,,46420; 47123; 90110; 58290; 70200,SÖDERTÄLJE,15159,CURLINGVÄGEN 3,"Bolaget skall bedriva konsultverksamhet inom IT, marknadsföring, företagsprofilering, TV-media, radio, journalistik, friskvård, försäljning av sportartiklar och accessoarer, äga andelar i andra bolag samt därmed förenlig verksamhe",2013-10-01,active,,,https://performitsweden.se/,,hitta_orgnr,high,Info@performitsweden.se,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/performit+sweden+holding+ab/s%C3%B6dert%C3%A4lje/aoptuyhmn | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment
556909-7347,Pe Livs & Serveringar AB,Pe Livs & Serveringar AB,47112,,47112; 56110,TYRESÖ,13540,VINTERVÄGEN 2 A,"Bolagets verksamhet är att driva livsmedelsbutik, serveringar, arrangera evenemang, hyra ut maskiner och evenemangs anläggningar. Leveranser av matvaror och färdig mat. Bangolf, tennis, anläggning och trädgårdstjänter.",2012-11-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556975-8401,Tanken AB,Tanken AB,47711,,47711,HÖLJES,68065,LÅNGFLON 40,Föremålet för bolagets verksamhet är att bedriva drift av energistationer för bilar och båtar samt därmed förenlig verksamhet.,2014-07-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556891-1563,Guide Gloves AB,Guide Gloves AB,46420,,46420,UPPLANDS VÄSBY,19461,JOHANNESLUNDSVÄGEN 12,Bolaget har till föremål för sin verksamhet att utveckla och idka handel inom produktområdet handskar ävensom driva därmed förenlig verksamhet.,2012-04-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556927-0357,UneCare of Sweden Aktiebolag,UneCare of Sweden Aktiebolag,47122,,47122; 46330; 47123; 10410; 46450,FALKENBERG,31136,SKRÄDDA STAVAS VÄG 33,"Företaget ska bedriva följande verksamhet - Skönhetsbehandlingar och därmed förenlig verksamhet - Hud- och hårbehandlingar med IPL (intensivt pulserande ljus) och laser och därmed förenlig verksamhet - Massagebehandlingar och därmed förenlig verksamhet - Ljusbehandlingar av muskler, senor, leder och sår och därmed förenlig verksamhet - Ansikts- och kroppsbehandlingar och därmed förenlig verksamhet - Försäljning av livsmedel och därmed förenlig verksamhet - Försäljning av skönhets- och hudvårdsprodukter och därmed förenlig verksamhet - Försäljning av hälsokostprodukter och därmed förenlig verksamhet- Grossistförsäljning av, livsmedel, skönhets- och hudvårds- och hälsokostprodukter och därmed förenlig verksamhet - Placering i fonder, aktier och därmed förenlig verksamhet",2013-03-26,active,,,http://www.unecare.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/unecare+of+sweden+ab/falkenberg/knveaptv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556962-3423,Vano IT AB,Vano IT AB,47401,,47401; 95101; 95102; 46501,NOSSEBRO,46530,STORGATAN 17,"Bolaget skall, inom IT, sälja, montera, reparera, ge service och support samt konsulta och underhålla och därmed förenlig verksamhet",2014-02-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556932-1705,KASEBJUR AB,KASEBJUR AB,46842,,46842,ÅRYD,35575,BILLAVÄGEN 13 C,"Aktiebolaget ska bedriva ekonomisk och juridisk rådgivning inom skuldsanering, omhändertagande av maskiner för återvinning och förvaltning av fastigheter samt därmed förenliga verksamheter.",2013-05-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556899-5582,Ödeshög Bygg & Järn AB,Ödeshög Bygg & Järn AB,46831,,46831,ÖDESHÖG,59933,FABRIKSVÄGEN 15,"Föremålet för bolagets verksamhet är bygg- och järnhandel, färghandel, entreprenad inom skog , äga och förvalta fastigheter och därmed förenlig verksamhet.",2012-07-25,active,,,https://bolist.se/butiker/odeshog/,,hitta_orgnr,high,,+4614431710,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/%C3%B6desh%C3%B6g+bygg+och+j%C3%A4rn+ab/%C3%B6desh%C3%B6g/acrxhhlq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:phone_in_segment
556965-6969,kattkompaniet SWE AB,kattkompaniet SWE AB,47762,,47762,NYBRO,38291,DUVETORP 201,Försäljning av zoologiska produkter i butik och webbutik.,2014-03-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556966-7768,MnO Sport Aktiebolag,MnO Sport Aktiebolag,47123,,47123; 47712,STOCKHOLM,12030,VIRKESVÄGEN 1 A,"Aktiebolaget ska importera och sälja kläder, skor och väskor. Handel med värdepapper, äga och förvalta aktier och andelar och andra värdepapper. handel med och äga bostadsrätter. Handel med och äga fast egendom samt ävensom idka annan därmed förenlig verksamhet.",2014-03-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556936-0497,Tiny Trends Sverige AB,Tiny Trends Sverige AB,47711,,47711,GÖTEBORG,41124,VASAGATAN 5 B,Bolaget ska bedriva handel med barnkläder och därmed förenlig verksamhet.,2013-07-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556988-9677,Smestan Trading AB,Smestan Trading AB,47811,,47811,ESKILSTUNA,63219,KUNGSGATAN 1,"Bolaget ska bedriva köp, försäljning och uthyrning av bilar, konsultationer inom bilbranschen samt därmed förenlig verksamhet.",2014-11-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556989-1053,Knut gadd AB,Knut gadd AB,47771,,47771; 47510; 47722; 74110,STOCKHOLM,11426,ÖSTERMALMSGATAN 26 A,"Bolagets verksamhet ska vara att bedriva produktutveckling och försäljning av ur, smycken, accessoarer, textil,mode/fashion, handel med värdepapper, samt därmed förenlig verksamhet.",2014-11-04,active,,,https://knutgadd.com/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/knut+gadd+ab/stockholm/nudlgvhng | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556936-5025,Skolform Olofsson AB,Skolform Olofsson AB,46492,,46492,KVILLSFORS,57455,REPPERDA LUNDTORP 1,"Föremålet för bolagets verksamhet är att bedriva försäljning av inventarier till skolmiljöer, utbildningsmaterial och läromedel, konsultuppdrag inom försäljning av utbildningsmaterial, läromedel och inventarier, fastighetsförvaltning, äga och förvalta fast och lös egendom och därmed förenlig verksamhet.",2013-07-02,active,,,https://www.skolform.se/,,hitta_orgnr,high,Skolform@gmail.com,+46729729084,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/skolform+olofsson+ab/kvillsfors/jgbxdjgrs | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment
556971-4669,Compsol Group AB,Compsol Group AB,46501,,46501,KARLSKOGA,69125,BOX 305,"Bolaget skall bedriva försäljning av produkter och tjänster baserade sig på automater såsom insättningsautomater för sedlar och mynt, bankautomater, växlingsautomater, valutaväxlings- automater, deponeringssystem, betalsystem, kortbetalnings- automater, sedel- och mynthanteringsmaskiner, frimärksautomater, biljettautomater, elektronisk utrustning för sedel- och myntläs- ning, dokumentläsare, automatiskt betalsystem för kassaregister med kontroll och förvaring av sedlar och mynt, sedel- och mynt- system i anslutning och därmed förenlig verksamhet. Bolaget skall vidare bedriva handel med aktier och värdepapper och därmed förenlig verksamhet.",2014-05-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556904-3705,Ewo Technology AB,Ewo Technology AB,46649,,46649,TROLLHÄTTAN,46138,KARDANVÄGEN 40,"Aktiebolaget ska bedriva försäljning av tryckerimaskiner, service, konstruktion, uppgraderingar och support samt för- säljning av reservdelar och förbrukningsmaterial för den grafiska marknaden.",2012-09-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556939-1831,Irmelin AB,Irmelin AB,46230,,46230,BOLLNÄS,82192,HÄLLBO 9088,"Bolaget ska bedriva köp och försäljning samt träning och tävlingsverksamhet med hästar, bedriva handel med fastigheter och värdepapper samt därmed förenlig verksamhet.",2013-08-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
