orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556008-7743,Aktiebolaget Karlshälls Granitindustri,Aktiebolaget Karlshälls Granitindustri,46820,,46820,TRENSUM,37494,MATVIKSHAMNSVÄGEN 304,"Bolaget skall bearbeta och driva handel med sten, äga och förvalta fastigheter, aktier och andra värdehandlingar ävensom idka därmed förenlig verksamhet.",1909-02-25,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556005-6680,Aktiebolaget O Mustad & Son,Aktiebolaget O Mustad & Son,46649,,46649; 47692; 77390; 70200,ÅRSTA,12038,SKÖNTORPSVÄGEN 27,"Bolaget ska bedriva förvaltning av fast egendom och värdepapper, bedriva verksamhet med markexploatering, bedriva konsthandel, bedriva leasingverksamhet avseende verkstadsmaskiner samt idka annan därmed förenlig verksamhet.",1904-08-08,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556020-8125,Lundgrens Fiskredskapsfabrik Aktiebolag,Lundgrens Fiskredskapsfabrik Aktiebolag,47631,,47631,STOCKHOLM,11221,HANTVERKARGATAN 21,Bolaget skall tillverka och försälja fiskredskap samt därmed förenlig verksamhet.,1922-05-22,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556012-2391,Kruuse Svenska Aktiebolag,Kruuse Svenska Aktiebolag,46460,,46460; 46210; 46380,YSTAD,27139,ÖSTRA ZINKGATAN 2,"Bolaget skall bedriva försäljning av artiklar till djursjukvård, djurvård samt övrig veterinär utrustning, samt därmed förenlig verksamhet.",1914-08-03,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556034-8376,Ewa & Mats Thorin AB,Ewa & Mats Thorin AB,47403,,47403,VALLENTUNA,18633,EKEBYDALSVÄGEN 91,"Aktiebolaget ska bedriva konsultverksamhet inom redovisning, marknadsföring och hemelektronikbranschen med därmed förenlig verksamhet, samt äga och förvalta värdepapper och fastigheter och därmed förenlig verksamhet.",1936-01-22,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556027-8128,Cimbria Herrekiperingen AB,Cimbria Herrekiperingen AB,47711,,47711,STOCKHOLM,11177,NK 158,Bolaget skall bedriva detaljhandelsförsäljning av konfektion och ekipering samt därmed förenlig verksamhet.,1929-04-24,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556005-2358,Festspecialisten Buttericks Aktiebolag,Festspecialisten Buttericks Aktiebolag,47641,,47641,GÖTEBORG,41707,KALKBRUKSGATAN 1,"Bolaget skall driva handelsrörelse med skämtsaker, fest- och maskeradartiklar.",1903-09-12,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556012-4561,Eberspächer,Eberspächer Aktiebolag,46720,,46720,TROLLHÄTTAN,46138,KARDANVÄGEN 34,"Bolaget skall tillverka och driva handel med värme- och kylaggregat, ljuddämpare och avgasrenare samt biltillbehör jämte produkter av metall, syntetmaterial, glas etc inom byggbranschen samt bedriva därmed förenlig verksamhet.",1915-02-05,active,,,http://www.eberspaecher.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/eberspacher-ab/trollh%C3%A4ttan/nsdijcsxy | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info-se@eberspaecher.com; privacy-ebab@eberspaecher.com,+46 10 682 68 00,eberspaecher.se,https://www.eberspaecher-climate.com/contact,browser,no,product_cards; sampled_3,main@https://www.eberspaecher-climate.com/se/sv:productCards(12) | main@https://www.eberspaecher-climate.com/se/sv:samplingRan(sampled=3) | sampleURL@https://eberspaecher.se/se/sv/servicepunkt:status=200 | sampleURL@https://eberspaecher.se/se/sv/plats:status=200 | sampleURL@https://eberspaecher.se/se/sv/produkter/fuel-operated-heaters:status=200,
556027-3244,OK-Q8 AB,OK-Q8 AB,46810,,46810; 69201; 49410; 52100,STOCKHOLM,10435,BOX 23900,"Föremålet för bolagets verksamhet är att på den svenska marknaden importera, tillverka, lagra, transportera och försälja petroleumprodukter och andra produkter med anknytning till nämnda verksamhetsområden samt utöva annan därmed sammanhängande verksamhet.",1928-11-07,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556025-2081,Electrolux Professional Sweden AB,Electrolux Professional Sweden AB,46431,,46431,LJUNGBY,34132,LÅNGGATAN 22,"Bolaget skall bedriva försäljning och marknadsföring av storköks- utrustning samt idustriell och kommersiell utrustning för tvätt, kyla och rengöring jämte redskap och tillbehör därför samt kemisk -tekniska produkter, ävensom att idka annan därmed förenlig verksamhet.",1926-09-13,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556028-6378,unilec Aktiebolag,unilec Aktiebolag,46141,,46141,JORDBRO,13650,CEMENTVÄGEN 8  1TR,Bolaget skall bedriva varuhandel med termometrar och termostater samt härtill hörande kringutrustning såsom till exempel strömställare och ventiler.,1930-02-10,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556034-3484,Volvo Car Sverige Aktiebolag,Volvo Car Sverige Aktiebolag,47811,,47811,GÖTEBORG,40531,50090 HB3S,Bolagets verksamhet skall avse att - självt eller genom innehav av aktier eller andelar i andra företag - driva handel med personvagnar och därtill hörande reservdelar och tillbehör samt därmed förenlig verksamhet i Sverige.,1935-07-26,active,,,http://www.volvocars.com/SE/Volvo-studio,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/volvo-studio-stockholm/stockholm/aklcgguh | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,volvocars.com,https://volvocars.com,browser,no,,,
556035-6890,Nordiska Kvalitetshus Holding AB,Nordiska Kvalitetshus Holding AB,46492,,46492; 66120; 68201; 46501; 52260,LIDINGÖ,18142,VASAVÄGEN 23 C,"Bolaget ska bedriva bygg och entreprenadverksamhet, äga och förvalta fast egendom, handel med värdepapper samt ekonomisk konsultverksamhet och därmed förenlig verksamhet.",1936-12-09,active,,,,,not_found,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,,,
556032-8113,Primus-Silva Sweden AB,Primus-Silva Sweden AB,46641,,46641; 26510,BROMMA,16865,MARIEHÄLLSVÄGEN 37 A,Bolaget ska bedriva tillverkning och försäljning av navigationsinstrument och friluftsutrustning ävensom idka annan därmed förenlig verksamhet.,1934-01-26,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556028-0801,Juvelnilsson Aktiebolag,Juvelnilsson Aktiebolag,47771,,47771,MALMÖ,21771,KÖPENHAMNSVÄGEN 48 C,Bolaget skall idka hantverk och handel inom juvelerarbranschen ävensom idka därmed förenlig verksamhet.,1929-07-12,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556040-3692,G. Lindé Aktiebolag,G. Lindé Aktiebolag,47771,,47771; 95250,BORLÄNGE,78433,SVEAGATAN 3,Bolaget ska bedriva detaljhandel med ur och guld och därmed förenlig verksamhet.,1941-07-28,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556015-8049,AB Blomsterhandeln Flora,Aktiebolaget Blomsterhandeln Flora,47761,,47761,KISTA,16443,LANGELANDSGATAN 25  3TR,"Bolaget skall bedriva handel med blommor, vin och öl samt därmed förenlig verksamhet.",1918-05-31,active,,,http://www.flora.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ab+blomsterhandeln+flora+flora+1/kista/akrsbzhm | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,flora.se,https://flora.se,static,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:woocommerce,static@https://flora.se:hasCheckout(urlPath:/checkout) | static@https://flora.se:hasCart(urlPath:/cart) | static@https://flora.se:pricedCards(multiPrices) | static@https://flora.se:providers(woocommerce) | static@https://flora.se:productCards(85) | DECISION@static@https://flora.se,
556001-0554,Rabattvaruhuset i Stockholm Aktiebolag,Rabattvaruhuset i Stockholm Aktiebolag,47541,,47541; 47552,DANDERYD,18230,SKOGSSLINGAN 7,Bolaget skall bedriva handel med elartiklar ävensom att idka därmed förenlig verksamhet.,1897-08-02,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556025-0846,aPak AB,aPak AB,46860,,46860,MÖLNDAL,43121,BOX 60,"Bolaget skall bedriva handel med emballage, förslutnings- och förbrukningsmaterial, plastfolie och stötdämpande material samt alla typer av VCI-rostskyddsprodukter, designa och producera kundspecifika förpackningslösningar, samt andra därmed förenliga verksamheter.",1926-07-19,active,,,https://apak.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/apak+ab/m%C3%B6lndal/fmqydcty | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,kontakt@apak.se; fredrik.walldal@apak.se; jens.halling@apak.se,+46 31 721 22 00; +46 250 846 01; +46 73 461 84 44,apak.se,https://apak.se/kontakt,browser,no,cart,main@https://apak.se/:hasCart(uiPhrase) | main@https://apak.se/:samplingRan(sampled=0) | contact_like@https://apak.se/kontakt:hasCart(uiPhrase),
556023-9286,ICA Hedared Aktiebolag,ICA Hedared Aktiebolag,47112,,47112,HEDARED,50492,VEMMENHULTSVÄGEN 2,Bolaget skall bedriva livsmedelshall och bensinförsäljning ävensom idka därmed förenlig verksamhet.,1925-05-06,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556008-6661,ABW Equipment AB,ABW Equipment AB,46649,,46649,KISTA,16440,HAUKADALSGATAN 10,"Bolaget skall marknadsföra maskiner och utrustning för handel, industri och storkök samt att utföra installation och efterförsäljning samt därmed förenlig verksamhet.",1909-01-14,active,,,http://www.abwe.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/abw-equipment-ab-berkel/kista/jnpsxfjp | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,info@abwe.se,,abwe.se,,,,,,
556030-1441,Aktiebolaget D. Börjessons Konsthandel,Aktiebolaget D. Börjessons Konsthandel,47692,,47692,GÖTEBORG,41117,VÄSTRA HAMNGATAN 15,"Bolaget skall idka handel med konst, antikviteter, guld, silver, ädelstenar samt aktier och värdepapper och därmed förenlig verk- samhet.",1931-06-19,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556036-1213,Karl H Ström Aktiebolag,Karl H Ström Aktiebolag,46433,,46433,JÖNKÖPING,55302,VERKTYGSVÄGEN 4,Bolaget skall idka handels- och agenturrörelse inom elektriska branschen även som därmed förenlig verksamhet.,1937-05-10,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556025-9987,CoPro International Aktiebolag,CoPro International Aktiebolag,46420,,46420; 46240; 46499,VEGA,13649,ISHAVSVÄGEN 13,"Aktiebolaget ska bedriva fabriks- och handelsrörelse och därmed sammanhängande verksamhet, företrädesvis med reklamartiklar, försäljning av bilar och montering av billarm, mobiltelefoner och övrig bilelektronik, ekonomisk konsultation, administrativ verksamhet, dataredovisning och företagsledning, äga och förvalta fast egendom samt därmed förenlig verksamhet.",1927-07-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556013-8256,AUMA Scandinavia AB,AUMA Scandinavia AB,46649,,46649,MALMÖ,20039,BOX 9144,"Bolaget skall idka försäljning och utrustning till ång-, vätske- och elektriska system och därtill hörande serviceverksamhet för huvudsakligen kraftvärmeverk och processindustrin.",1916-11-27,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556030-0914,ACG Gruppen AB,ACG Gruppen AB,46649,,46649; 68203,BORÅS,50110,BOX 929,"Bolaget ska leda och utveckla företag, bedriva förvaltning av värdepapper samt därmed förenlig verksamhet.",1931-06-01,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556026-6669,Colgate-Palmolive Aktiebolag,Colgate-Palmolive Aktiebolag,46440,,46440; 46450,DANDERYD,18215,BOX 560,"Bolaget skall driva tillverkning och försäljning av tvätt- och hushållsrengöringsmedel, toalettartiklar och kosmetika, konfektyrer och livsmedel, hälsovårdsprodukter samt därmed förenlig verksamhet.",1928-03-23,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556011-0552,Th. Brunius & Co Aktiebolag,Th. Brunius & Co Aktiebolag,46860,,46860,GÖTEBORG,40317,BOX 2516,"Aktiebolagets verksamhet skall vara att bedriva handel med skogsprodukter - såsom trävaror, papper och pappersmassa - på den internationella marknaden samt bedriva därmed förenlig verksamhet.",1912-06-26,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556004-7903,Dagab Inköp & Logistik AB,Dagab Inköp & Logistik AB,46390,,46390; 46310; 46321; 46220; 46360,STOCKHOLM,10769,Dagab Inköp & Logistik AB,"Bolaget har till föremål för sin verksamhet att direkt och indirekt bedriva handel med dagligvaror, bistå med utveckling av affärsverksamhet, in- och uthyrning av butikslokaler, driva partihandel inom dagligvarubranschen, partihandel med läkemedel, äga och förvalta aktier och fastigheter ävensom bedriva annan därmed förenlig verksamhet.",1902-08-04,active,,,http://www.unitednordic.com/,,hitta_name,high,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_detail | hitta_name:https://www.hitta.se/united-nordic-inc-ab/stockholm/mgqbzlru | hitta_name:orgnr_match | hitta_name:url_in_own_segment | hitta_name:email_in_segment | hitta_name:phone_in_segment,unitednordic@axfood.se,+46855399000,unitednordic.com,,,,,,
556022-9568,ANDRITZ Fabrics and Rolls Scandinavia AB,ANDRITZ Fabrics and Rolls Scandinavia AB,46860,,46860,BÄLINGE,74386,JUMKILS-BROBY 46,"Bolaget skall i Uppsala eller på andra orter på kommissionsbasis sälja maskinbeklädnad, maskiner och tillbehör för främst pappers- och cellulosaindustrin, service, support samt annan därmed sammanhängande eller förenlig verksamhet.",1924-05-16,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556036-2435,Svante Nilssons Förvaltning AB,Svante Nilssons Förvaltning AB,47789,,47789; 47552; 47403; 47522,UPPSALA,75218,FLORAGATAN 7,Bolaget skall bedriva förvaltning av aktier och andra finansiella instrument samt annan förenlig verksamhet.,1937-06-30,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
